Germany;79433029;81678051;82211508;82469422;81776930;80274983;80425823;80645605;80982500;81686611;82348669;82657002;82905782;83132799
Ghana;14773277;17014057;19278856;21814642;24779619;25387710;25996449;26607642;27224472;27849205;28481946;29121471;29767108;30417856
Greece;10196792;10562153;10805808;10987314;11121341;11104899;11045011;10965211;10892413;10820883;10775971;10754679;10732882;10716322
Guatemala;9263813;10408489;11650743;13096028;14259687;14521515;14781942;15043981;15306316;15567419;15827690;16087418;16346950;16604026
Honduras;4955303;5709014;6574509;7458985;8317470;8480671;8640691;8798521;8955589;9112916;9270795;9429013;9587522;9746117
Hungary;10373988;10328965;10210971;10087065;10000023;9971727;9920362;9893082;9866468;9843028;9814023;9787966;9775564;9769949
Iceland;254826;267468;281205;296734;318041;319014;320716;323764;327386;330815;335439;343400;352721;361313
India;873277798;963922588;1056575549;1147609927;1234281170;1250288729;1265782790;1280846129;1295604184;1310152403;1324509589;1338658835;1352617328;1366417754
Indonesia;181413402;196934260;211513823;226289470;241834215;245116206;248452413;251806402;255129004;258383256;261554226;264645886;267663435;270625568
Iran;56366217;61442664;65623405;69762347;73762519;74634956;75539862;76481943;77465753;78492215;79564016;80673951;81800269;82913906
Iraq;17419113;20149338;23497585;26922284;29741976;30725300;31890011;33157050;34411951;35572261;36610632;37552781;38433600;39309783
Ireland;3513974;3608841;3805174;4159914;4560155;4580084;4599533;4623816;4657740;4701957;4755335;4807388;4867316;4941444
Israel;4660000;5545000;6289000;6930100;7623600;7765800;7910500;8059500;8215700;8380100;8546000;8713300;8882800;9053300
Italy;56719240;56844303;56942108;57969484;59277417;59379449;59539717;60233948;60789140;60730582;60627498;60536709;60421760;60297396
Jamaica;2419906;2533711;2654701;2740003;2810460;2825929;2842132;2858709;2875136;2891021;2906238;2920853;2934855;2948279
Japan;123537000;125439000;126843000;127773000;128070000;127833000;127629000;127445000;127276000;127141000;126994511;126785797;126529100;126264931
Jordan;3565890;4588843;5122493;5765635;7261539;7663131;8090872;8520420;8920049;9266575;9551467;9779173;9956011;10101694
Kazakhstan;16348000;15815626;14883626;15147029;16321872;16557201;16792089;17035550;17288285;17542806;17794055;18037776;18276498.5;18513930
Kenya;23724579;27768296;31964557;36624895;42030676;43178257;44343410;45519889;46699981;47878336;49051686;50221473;51393010;52573973
Korea;42869283;45092991;47008111;48184561;49554112;49936638;50199853;50428893;50746659;51014947;51217803;51361911;51606633;51709098
Kuwait;2095344;1605901;2045123;2270198;2991884;3168060;3348853;3526376;3690941;3835591;3956875;4056099;4137312;4207083
Laos;4258472;4846483;5323700;5751676;6249165;6347567;6444530;6541304;6639756;6741164;6845846;6953035;7061507;7169455
Latvia;2663151;2485056;2367550;2238799;2097555;2059709;2034319;2012647;1993782;1977527;1959537;1942248;1927174;1912789
Lebanon;2803044;3528380;3842778;4698763;4953061;5202343;5538634;5914621;6262410;6532678;6711121;6811873;6848925;6855713
Libya;4436661;4948798;5357891;5798614;;;;;;;;;;
Lithuania;3697838;3629102;3499536;3322528;3097282;3028115;2987773;2957689;2932367;2904910;2868231;2828403;2801543;2786844
Luxembourg;381850;408625;436300;465158;506953;518347;530946;543360;556319;569604;582014;596336;607950;619896
Madagascar;11598633;13475400;15766806;18336724;21151640;21743967;22346641;22961253;23589887;24234088;24894380;25570540;26262368;26969307
Malaysia;18029824;20487607;23194257;25690611;28208035;28650955;29068159;29468872;29866559;30270962;30684804;31105028;31528585;31949777
Mali;8449913;9585653;10946445;12775516;15049353;15514591;15979499;16449864;16934220;17438778;17965429;18512394;19077690;19658031
Malta;354170;377419;390087;403834;414508;416268;420028;425967;434558;445053;455356;467999;484630;502653
Mauritius;1058775;1122457;1186873;1228254;1250400;1252404;1255882;1258653;1260934;1262605;1263473;1264613;1265303;1265711
Mexico;83943132;91663285;98899845;106005203;114092963;115695473;117274155;118827161;120355128;121858258;123333376;124777324;126190788;127575529
Morocco;24807462;26994250;28793679;30455561;32343389;32781850;33241898;33715693;34192347;34663603;35126296;35581294;36029138;36471769
Mozambique;12987292;15483286;17711927;20493925;23531574;24187487;24862648;25560725;26286163;27042002;27829942;28649007;29495962;30366036
Myanmar;41335199;43901598;46719701;48949924;50600818;50990615;51413698;51852451;52280807;52680726;53045226;53382581;53708395;54045420
Namibia;1432905;1627865;1794571;1938320;2118874;2156701;2194784;2233510;2273430;2314904;2358041;2402603;2448255;2494530
Nepal;18905478;21576071;23941110;25744500;27013212;27041437;26989862;26917906;26906926;27015031;27261131;27627124;28087871;28608710
Netherlands;14951510;15459006;15925513;16319868;16615394;16693074;16754962;16804432;16865008;16939923;17030314;17131296;17231624;17332850
New Zealand;3329800;3673400;3857700;4133900;4350700;4384000;4408100;4442100;4509700;4595700;4693200;4793900;4841000;4917000
Nicaragua;4173434;4652185;5069302;5438690;5824065;5903039;5982526;6062454;6142733;6223240;6303974;6384855;6465513;6545502
Nigeria;95212450;107948335;122283850;138865016;158503197;162805071;167228767;171765769;176404902;181137448;185960289;190873311;195874740;200963599
North Macedonia;1996228;1983252;2034819;2060273;2070741;2072487;2074278;2076067;2077775;2079328;2080745;2081996;2082958;2083459
Norway;4241473;4359184;4490967;4623291;4889252;4953088;5018573;5079623;5137232;5188607;5234519;5276968;5311916;5347896
