;1990;1995;2000;2005;2009;2010;2011;2012;2013;2014;2015;2016;2017
Algeria;62045099642.7774;41764052457.8814;54790245600.5846;103198228458.588;137211039898.193;161207268655.392;200019057307.655;209058991952.125;209755003250.664;213810022462.428;165979277276.907;160129866569.935;167555280113.181
Angola;11228764963.1618;5538749259.94714;9129594818.60749;36970918699.2523;70307163678.1895;83799496611.6049;111789686464.26;128052853643.447;136709862831.308;145712200312.505;116193649124.475;101123851090.473;122123822333.73
Argentina;141352368714.691;258031750000;284203750000;198737095012.282;332976484577.619;423627422092.49;530163281574.658;545982375701.128;552025140252.246;526319673731.638;594749285413.212;554860945013.62;637430331479.469
Australia;310838014621.008;367216364716.365;415034227218.489;692641708013.833;926448240318.068;1144260547872.81;1394280784777.68;1543411012579.91;1573696522006.77;1464955475993.76;1349034029453.37;1208039015868.39;1323421072479.07
Austria;166463386663.439;241038283062.645;196799778883.361;315974418604.651;400172297860.517;391892746544.69;431120310088.82;409425234155.263;430068712971.867;441885415805.825;382065930307.978;390799991147.468;416595666396.636
Azerbaijan;9063444102.23294;3052467522.36104;5272617196.04517;13245716099.0057;44291490420.5026;52902703376.1056;65951627200.2026;69683935845.2138;74164435946.4627;75244294275.1498;53074370486.0433;37867518957.1975;40747792237.9735
Bahamas;3166000000;3429000000;8076470000;9836200000;9981960000;10095760000;10070450000;10720500000;10627600000;10957300000;11792300000;11838800000;12162100000
Bangladesh;31598341233.559;37939748768.6567;53369787318.6245;69442943089.4309;102477791472.39;115279077465.226;128637938711.386;133355749482.478;149990451022.29;172885454931.453;195078678697.23;221415188000.475;249723862487.361
Belarus;21650000000;13972676840.918;12736856827.9847;30207567316.6202;50874078052.2735;58665088956.0255;61757788944.7236;65685102554.8759;75527984234.2342;78813839984.3506;56454734396.5842;47749057078.1997;54456465472.6162
Belgium;206430841501.69;289567323481.117;237904919845.218;387365750528.541;484552792442.345;483548031197.109;527008453886.929;497884216568.867;520925468952.938;530770977633.615;455039563132.777;467545548764.571;492681283049.248
Bolivia;4867582620.20708;6715220507.05164;8397912509.09679;9549077869.1065;17339992165.2422;19649724655.4886;23963162983.7987;27084497539.7974;30659338929.0883;32996187988.4226;33000198263.3864;33941126193.9219;37508642112.8799
Botswana;3790567051.86778;4730611067.02258;5788329609.15755;9931134940.51346;10267133177.7334;12786654365.8738;15351972226.5024;14420393568.8596;14901750764.9811;16250750259.0212;14406496463.6055;15648632361.5749;17406565823.2986
Brazil;461951782000;769305386182.849;655420645476.906;891630175813.342;1667019780934.28;2208871646202.82;2616201578192.25;2465188674415.03;2472806919901.67;2455993625159.37;1802214373741.32;1793989048409.29;2055505502224.73
Bulgaria;20632090909.0909;13063422619.0476;13153016530.8718;29636617749.8253;51884481410.3931;50610058210.3696;57418414504.0882;53903022339.0276;55555171009.772;56814543481.2102;50201314894.5817;53240950226.2443;58220973782.7715
Burkina Faso;3101301780.95067;2379518099.2266;2628920056.10098;5462709498.45118;8369175126.25316;8979966766.07232;10724063457.8326;11166063466.5623;11947176341.9966;12377391462.6377;10419303761.3524;10886363726.8422;12322864244.9183
Cameroon;11151578050.7356;9643953174.7735;10083937740.0624;17944084201.4901;26017925551.8426;26143818509.6421;29337006833.0825;29104437355.0395;32348149947.3727;34942948737.3967;30916218544.4404;32621535418.9031;34922782310.6416
Canada;593929550908.468;604031623433.401;742293448252.643;1169357979864.66;1371153004986.44;1613464422811.13;1788647906047.76;1824288757447.57;1842628005830.18;1799268695861.8;1559623393038.66;1535767736946.18;1653042795255.04
Chile;33113887817.9731;73447063319.3034;77860932151.8471;122964812046.073;172389498444.621;218537551220.071;252251992029.442;267122320056.702;278384332694.359;260584090570.988;243999477737.94;250036180921.053;277075944401.941
China;360857912565.966;734547898220.508;1211346869605.24;2285965892360.54;5109953609257.25;6100620488867.55;7572553836875.34;8560547314679.28;9607224481532.65;10482372109961.9;11064666282625.5;11190992550229.5;12237700479375
Colombia;47844090709.9908;92507279383.0387;99886577330.7271;145180960224.302;232494134119.684;286103648654.545;334454039093.586;370574421703.06;381866608838.8;381112119657.445;293481748240.779;282856115393.175;314457601859.523
Congo;9349764580.36998;5643439376.10492;19088046305.7971;11964484667.9102;18648373312.4241;21565720044.4634;25839749198.8233;29306235826.3886;32679745297.6453;35909040265.9328;37917704900.0794;37134799974.5225;37642482562.3205
Costa Rica;5711687786.75989;11513472785.7207;14949514493.4226;19952156489.4661;30562361123.0103;37268635287.1516;42262697840.4212;46473128285.4629;49745088111.6217;50577769837.6911;54775994478.4981;57157992434.219;57285984447.7113
Côte d'Ivoire;10795850106.9547;11000146839.497;10717022462.6859;17084928927.4555;24277493862.0625;24884505034.5564;25381616734.0693;26790579775.295;31273049200.243;35343298113.5131;39633467835.725;35389998638.9371;37353276059.2518
Croatia;;22387561849.4125;21774273831.5586;45347181466.3022;62754161039.069;59844207748.9473;62404149309.6847;56548374546.3441;58147688052.2904;57671307486.8132;49490142433.1046;51640880494.2725;55213087270.6341
Cuba;28645436569.1489;30429803651.2192;30565400000;42643836074.8;62080000000;64328000000;68990000000;73141000000;77148000000;80656000000;87133000000;91370000000;96851000000
Cyprus;5591130217.66965;9933143596.37775;9985843543.82658;18433416241.761;25942664629.0636;25562264900.6622;27426994717.8204;25041397918.5404;24084559214.0202;23364707443.2798;19680625485.1946;20453761061.9469;22054225828.2623
Czech Republic;40477403219.5176;59775697061.0399;61649492816.5201;136280689891.224;206179982164.402;207477857918.919;227948349666.354;207376427020.815;209402444996.104;207818330723.835;186829940545.759;195305084919.138;215725534372.371
Denmark;138247261092.977;185006961302.299;164158800460.22;264467308109.19;321241396034.248;321995350346.501;344003209695.606;327148899962.146;343584385594.132;352993633221.281;301298464861.385;306899653409.601;324871968807.469
Dominican Republic;7073675544.80847;16598679279.0698;24305116729.1851;36119047252.1794;48376555305.6902;53982886258.2205;57811180659.4545;60657780260.6792;62661773591.7203;66065015410.0468;68802092020.9448;72342967648.3354;75931656814.657
Ecuador;15239278100.3502;24432884442.2211;18327764882.4412;41507085000;62519686000;69555367000;79276664000;87924544000;95129659000;101726331000;99290381000;99937696000;104295862000
Egypt;42978914311.3504;60159245060.4542;99838543960.0763;89685725230.2517;188982374700.805;218888324504.753;236001858960.015;279372758361.832;288586231501.877;305529656458.438;332698041030.807;332927833278.038;235369129337.711
El Salvador;4817542204.02673;8921947100;11784927700;14698001400;17601616000;18447922400;20283783700;21386153000;21977401900;22585841200;23166030400;23912227500;24805439600
Equatorial Guinea;112119406.548331;141853368.256815;1045998496.43872;8217369092.65224;15027795173.2187;16298542027.9965;21329395900.871;22389626329.3369;21942597765.3631;21736500712.9638;13180195435.1132;11260900825.8233;12293579173.2134
Estonia;;4373665145.55468;5685774808.80862;14006088297.4754;19652492636.8436;19490936349.1753;23170239900.7654;23043864510.0543;25137153149.4377;26224622450.8302;22566956982.229;23337907618.5174;25921079612.3337
