;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Afghanistan;3622000000;3236000000;2963000000;6209140044.00519;15856574731.441;17804292964.1045;20001598505.7042;20561069558.2152;20484885119.7348;19907111418.9938;19362642266.6484;20191760000.0587;19484384936.6312;19101353832.7371
Albania;2028553750;2392764853.42107;3480355188.60063;8052075642.10781;11926928505.5231;12890765324.2256;12319830252.4768;12776217194.7928;13228144008.3428;11386846319.1589;11861200797.4707;13019693450.8816;15147020535.3869;15278077446.8643
Algeria;62045099642.7774;41764052457.8814;54786074940.2073;103198442061.076;161207754147.286;200019468616.453;209060307470.078;209754763860.68;213808808746.696;165979418301.861;160033844070.572;167389364980.671;173757952824.25;169988236398.126
Angola;11228764963.1618;5538749259.94714;9129594818.60749;36970918699.2523;83799496611.2004;111789686464.441;128052853643.106;136709862831.194;145712200312.505;116193649124.151;101123851090.455;122123822333.591;101353230784.594;94635415869.9851
Argentina;141352368714.691;258031750000;284203750000;198737095012.282;423627422092.49;530163281574.658;545982375701.128;552025140252.246;526319673731.638;594749285413.212;557531376217.967;642695864756.35;519871519807.795;449663446954.073
Australia;310777222008.465;367216364716.365;415222633925.768;693407758231.845;1146138465603.81;1396649906339.35;1546151783872.96;1576184467015.49;1467483705131.74;1351693984524.5;1208846993739.99;1330135756844.41;1433904348500.12;1392680589329.14
Austria;166463386663.439;241038283062.645;196799778883.361;315974418604.651;391892746544.69;431120310088.82;409425234155.263;430068712971.867;441996131736.508;381817565893.574;395227684138.862;418316161095.683;455508255028.219;446314739528.47
Azerbaijan;8858006035.91566;3052467522.36104;5272617196.04517;13245716099.0057;52902703376.1057;65951627200.2026;69683935845.2138;74164435946.4627;75244294275.1498;53074370486.0433;37867518957.1975;40865558912.3867;47112941176.4706;48047647058.8235
Bahamas;3166000000;3429000000;8076470000;9836200000;10095760000;10070450000;10720500000;10562700000;10913300000;11752300000;11938400000;12150400000;12424500000;12827000000
Bahrain;4229787234.04255;5849467819.14894;9062898936.17021;15968723404.2553;25713271276.5957;28776595744.6809;30749308510.6383;32539468085.1064;33387712765.9574;31125851063.8298;32250132978.7234;35423643617.0213;37652500000;38574069148.9362
Bangladesh;31598341233.559;37939748768.6567;53369787318.6245;69442943089.4309;115279077465.226;128637938711.386;133355749482.478;149990451022.29;172885454931.453;195078678697.23;221415162445.648;249711052937.012;274039092455.306;302571254131.135
Belarus;21650000000;13972676840.918;12736856827.9847;30207567316.6202;57222490768.7143;61757788944.7236;65685102554.8759;75527984234.2342;78813839984.3506;56454734396.5842;47722657820.6675;54726595249.1849;60031262269.3365;63080457022.6599
