Iran;56226185;60575644;66131854;70421811;73687565;74567511;75491582;76453574;77435384;78411092;79360487;80277428;81162788
Iraq;17469005;20208387;23565413;27008426;29894652;30762701;31727053;32776571;33883145;35006080;36115649;37202572;38274618
Ireland;3513974;3608841;3805174;4159914;4535375;4560155;4580084;4599533;4623816;4657740;4701957;4755335;4813608
Israel;4660000;5545000;6289000;6930100;7485600;7623600;7765800;7910500;8059500;8215700;8380100;8546000;8712400
Italy;56719240;56844303;56942108;57969484;59095365;59277417;59379449;59539717;60233948;60789140;60730582;60627498;60551416
Jamaica;2424242;2537440;2656864;2744673;2804082;2817210;2829493;2840992;2851807;2862087;2871934;2881355;2890299
Japan;123537000;125439000;126843000;127773000;128047000;128070000;127833000;127629000;127445000;127276000;127141000;126994511;126785797
Jordan;3560582;4572904;5103130;5714111;6821116;7182390;7574943;7992573;8413464;8809306;9159302;9455802;9702353
Kazakhstan;16348000;15815626;14883626;15147029;16092822;16321872;16557201;16792089;17035550;17288285;17542806;17794055;18037646
Kenya;23402507;27346456;31450483;36048288;40237204;41350152;42486839;43646629;44826849;46024250;47236259;48461567;49699862
Korea;42869283;45092991;47008111;48184561;49307835;49554112;49936638;50199853;50428893;50746659;51014947;51245707;51466201
Kuwait;2099615;1610651;2050741;2276623;2818939;2998083;3191051;3395556;3598385;3782450;3935794;4052584;4136528
Latvia;2663151;2485056;2367550;2238799;2141669;2097555;2059709;2034319;2012647;1993782;1977527;1959537;1940740
Lebanon;2703016;3033394;3235366;3986852;4183156;4337141;4588368;4916404;5276102;5603279;5851479;6006668;6082357
Libya;4436661;4948798;5355751;5792688;6121053;6169140;6193501;6198258;6195970;6204108;6234955;6293253;6374616
Lithuania;3697838;3629102;3499536;3322528;3162916;3097282;3028115;2987773;2957689;2932367;2904910;2868231;2827721
Luxembourg;381850;408625;436300;465158;497783;506953;518347;530946;543360;556319;569604;582014;599449
Malaysia;18038321;20495597;23185608;25659393;27605383;28112289;28635128;29170456;29706724;30228017;30723155;31187265;31624264
Mali;8465188;9604450;10967690;12798763;14606597;15075085;15540989;16006670;16477818;16962846;17467905;17994837;18541980
Malta;354170;377419;390087;403834;412477;414508;416268;420028;425967;434558;445053;455356;465292
Mauritius;1058775;1122457;1186873;1228254;1247429;1250400;1252404;1255882;1258653;1260934;1262605;1263473;1264613
Mexico;85357874;94045579;101719673;108472228;115505228;117318941;119090017;120828307;122535969;124221600;125890949;127540423;129163276
Morocco;24879136;27075232;28849621;30521070;31989897;32409639;32858823;33333789;33824769;34318082;34803322;35276786;35739580
Mozambique;13247649;15759132;18067687;20923070;23524063;24221405;24939005;25676606;26434372;27212382;28010691;28829476;29668834
Myanmar;40626250;43237792;46095462;48482614;49800690;50155896;50553031;50986514;51448196;51924182;52403669;52885223;53370609
Namibia;1414692;1655359;1899257;2032196;2137040;2173170;2215621;2263934;2316520;2370992;2425561;2479713;2533794
Netherlands;14951510;15459006;15925513;16319868;16530388;16615394;16693074;16754962;16804432;16865008;16939923;17030314;17132854
New Zealand;3329800;3673400;3857700;4133900;4302600;4350700;4384000;4408100;4442100;4509700;4595700;4693200;4793900
Nicaragua;4144565;4612228;5026796;5379328;5666581;5737723;5807820;5877108;5945747;6013997;6082035;6149928;6217581
Nigeria;95269988;108011465;122352009;138939478;154402181;158578261;162877076;167297284;171829303;176460502;181181744;185989640;190886311
Norway;4241473;4359184;4490967;4623291;4828726;4889252;4953088;5018573;5079623;5137232;5190239;5234519;5282223
Oman;1812160;2204283;2267991;2511269;2882942;3041460;3237268;3464644;3711481;3960925;4199810;4424762;4636262
Pakistan;107678614;122829148;138523285;153909667;167049580;170560182;174184265;177911533;181712595;185546257;189380513;193203476;197015955
