;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016
Algeria;62045098374.5482;41764052457.8814;54790060512.8887;103198229168.23;137211039899.57;161207268840.911;200013050828.17;209047389599.67;209703529364.331;213518488688.12;166838617796.555
Angola;10033444816.0535;4879285714.28571;9129634978.33773;28233712830.9035;75492384801.3695;82470913120.7314;104115923082.737;115398371427.673;124912063308.202;126776874216.703;102626929544.805
Argentina;141352368724.031;258031750000;284203750000;199495534687.577;334490355492.26;425916078731.8;533200293249.748;548934618735.756;554155198994.424;529726189460.922;583168571071.407
Australia;310954982685.648;367949212949.213;414951956289.644;693075477371.824;926563834486.821;1142250506474.06;1389919156068.22;1537477830480.51;1563950959269.52;1454675479665.84;1339140527498.13
Austria;166062376739.683;240457622492.152;196421706283.398;314648986444.472;397594276187.83;390235099337.748;429010675562.969;407451583084.239;428248420485.175;438376178526.317;376950249528.668
Azerbaijan;8858006035.91566;3052467522.36104;5272617196.04517;13245421880.834;44291490420.5026;52902703376.1057;65951627200.2026;68730906313.6456;73560484384.9586;75198010965.1919;53047140347.4527
Bangladesh;31598341233.5793;37939748051.3878;53369787318.6245;69442943089.4309;102477791472.39;115279077465.226;128637938711.386;133355749482.478;149990451022.29;172885454931.453;195078665827.565
Belarus;17369598958.1159;13972637603.2102;12736856485.1068;30210091836.8294;49208656976.039;55220932613.958;59734593904.6402;63615445566.8483;73097619636.8208;76103961203.4406;54608962634.9908
Belgium;206430841501.69;289567323481.117;237904919845.218;387365750528.541;484552792442.345;483576821192.053;526975674172.922;497884216568.867;520091780650.207;531761915064.736;455085726960.186
Bolivia (Plurinational State of);4867582620.20708;6715220507.05164;8397912509.09679;9549077869.1065;17340028490.0285;19649692875.5683;23963096439.383;27084515195.369;30659334298.1187;32996237337.1925;32997684515.1954
Brazil;461951782000;785643456467.255;655421153320.579;891629970423.924;1667020106031.81;2208872214643.02;2614573170731.71;2460658440428.04;2465773850934.56;2417046323841.9;1774724818900.48
Bulgaria;20632090909.0909;13063422619.0476;13148099185.2305;29821662537.3229;51783454183.5502;50610031135.7791;57418391041.5926;53903028252.2996;55758744571.1183;56732006512.0065;50199117547.0415
Canada;593929550908.468;604031623433.401;742293448252.643;1169357979864.66;1371153004986.44;1613406134731.12;1788703385548.26;1824288757447.57;1837443486716.34;1783775590895.93;1550536520141.93
Chile;31558927517.2188;71349202308.6423;79328640263.7676;124404150138.227;171956955710.33;217538271334.673;250832362674.151;265231582123.55;277078709134.903;258733363811.966;240796388428.74
China;360858508604.206;734548001963.907;1211346395438.73;2285965854313.36;5109954035775.98;6100620356557.32;7572554360442.62;8560546868811.69;9607224248684.59;10482371325324.7;11007720594138.9
Colombia;40274204595.2296;92507279383.0388;99886577330.7271;146566264837.014;233821670544.257;287018184637.529;335415156702.186;369659700375.52;380191881860.372;378416020533.715;292080155633.31
Congo (Democratic Republic of the);7403457319.20472;11513472693.8707;14949514585.1585;19952156474.8454;30562361151.812;37268635328.7341;42262697853.6349;46473128236.8416;49639737973.791;50167623289.763;54136834090.867
Costa Rica;10795850106.9547;11000146839.497;10717022462.6859;17084928927.4555;24277493862.0625;24884505034.5564;25381616734.0693;27040562587.1771;31264187110.3554;34217693110.4569;31759248867.8039
Côte d'Ivoire;;22387561845.2244;21774273832.1031;45416076680.8707;62703095750.5257;59680624422.3702;62249565358.9878;56485301967.4205;57770884728.6496;57136241867.0192;48732003674.38
Croatia;7650125217.35253;14655487455.7333;19288926545.3759;27211380858.3989;37733852002.6442;41338340406.3129;47654704787.0678;50388418158.5954;53851075503.9906;58722087391.6801;63794152886.0397
Cuba;5591130217.66965;9826778783.9586;10183317624.8822;18703146374.829;25942622950.8197;25562251655.6291;27427161523.4918;25012206090.1966;24054965480.616;23308212816.7706;19559942331.1523
Cyprus;40315845396.3126;59537113790.5049;61474265134.5364;135990215966.674;205729790694.015;207015860050.371;227948564356.715;207376427020.815;209402444996.104;207818330723.835;185156359571.116
Czech Republic;5647034074.07407;5647034074.07407;19088046305.7971;11964484667.9102;18262773820.8055;20523285374.187;23849009737.6669;27463220380.0054;30014813755.772;32782281736.251;35237742278.1147
Denmark;138094873105.387;185006961302.299;164158800460.22;264559522419.917;319762353336.194;319810991980.939;341498686832.939;325012162409.979;338927058604.182;346119472127.525;295091333721.319
Dominican Republic;7073674721.12418;16358496124.031;23996063503.0497;34004033803.9438;48376555305.6902;53954579003.5277;57746684847.0898;60613645121.3529;61965942056.6828;65231032303.2418;68102618092.1031
Ecuador;15239278100.3502;24432884442.2211;18327764882.4412;41507085000;62519686000;69555367000;79276664000;87924544000;95129659000;102292260000;100176808000
Egypt;43130416913.4141;60159245060.4542;99838543960.0763;89685725230.2517;188982374700.805;218888324504.753;236001858960.015;276353323880.223;286011230726.274;301498960051.639;330778550716.746
Estonia;;4373658536.58537;5685773518.84272;14006093769.4317;19652486801.8894;19492092715.2318;23168793438.9769;23043861554.8714;25081191938.2942;26213936937.2806;22459443273.8161
Ethiopia;12175166763.285;7663984567.90123;8242392103.68061;12401139453.9738;32437389116.038;29933790334.3418;31952763089.33;43310721414.0829;47648211133.2183;55612228233.5179;61539711686.6936
Finland;141517648888.198;134199346405.229;125539893126.958;204436015420.968;251499027507.641;247814569536.424;273657214345.288;256706466091.089;269980111642.898;272463347978.069;231949650659.865
France;1275300566196.84;1609892232882.11;1368438363736.87;2203678646934.46;2693827452070.02;2646994701986.75;2862502085070.89;2681416108537.39;2808511203185.39;2839162443235.14;2418835532882.33
Germany;1764967948916.6;2591620035485.19;1949953934033.54;2861410272354.18;3418005001389.27;3417298013245.03;3757464553794.83;3543983909148.01;3752513503278.41;3879276587198.91;3363446822668.29
Ghana;5889174833.90034;6465137614.6789;4983024408.14828;10731634116.7384;25977847813.7422;32174772955.9748;39566292432.8615;41939728978.7282;47805069494.9082;38616536131.648;37543361203.5609
Greece;97891090928.6329;136878366230.328;130133845771.144;247783001865.44;330000252153.376;299379400264.901;287779921184.32;245670666639.047;239862011450.103;236079774688.445;194851319174.892
Guatemala;7650125217.35253;14655487455.7333;19288926545.3759;27211380858.3989;37733852002.6442;41338340406.3129;47654704787.0678;50388418158.5954;53851075503.9906;58722087391.6801;63794152886.0397
Hungary;;46288369007.4588;47209471853.3471;112589039620.207;129965360575.699;130258247571.415;140091591852.976;127321135030.078;134680475647.645;139294565100.565;121715203207.647
Iceland;6521544489.20626;7181787873.86945;8924735422.81469;16749309720.1251;12855269883.7902;13236887873.0516;14665358676.7166;14194519025.2641;15376604281.4504;17036097481.8066;16598494830.9142
India;326608014285.316;366600193391.349;476609148165.173;834214699568.14;1323896417147.06;1656562168648.57;1822989507290.05;1828985283085;1863208343557.81;2042438591343.98;2095398349095.54
Indonesia;106140724972.15;202132032633.459;165021012077.81;285868618224.017;539580085612.402;755094160363.071;892969107923.094;917869910105.749;912524136718.018;890487074595.966;861933968740.332
Iran (Islamic Republic of);124813263926.374;96419225743.6737;109591707802.216;219845971945.264;398978104575.331;467790215915.476;592037800186.865;587209369682.67;511620875086.78;425326068422.881;
Iraq;179885815374.719;179885815374.719;179885815374.719;49954890353.2609;111660855042.735;138516722649.573;185749664444.444;218000986222.639;234648370497.427;228730703259.005;180068537409.153
Ireland;49354420997.7856;69208238510.101;99855065966.464;211684825270.489;235765973325.924;221356661986.755;240575769113.15;225819184920.64;239271162515.74;256271350218.827;283703217034.49
Israel;52490327348.4773;99968784246.0067;132396684080.151;142837533703.233;208068814688.605;233754747258.625;261374751963.332;257641795689.722;293314777888.557;308769389865.564;299415714726.768
Italy;1177326298642.53;1170787357066.44;1141760021927.4;1852661936077.6;2185160158794.11;2125184794172.19;2276150874756.74;2072823111961.1;2130491269673.44;2149814265578.42;1821496964400.58
