;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017
Algeria;62045099642.7774;41764052457.8814;54790245600.5846;103198228458.588;137211039898.193;161207268655.392;200019057307.655;209058991952.125;209755003250.664;213810022462.428;165874330876.321;159049096745.249
Angola;10026737967.9144;5039552482.42778;9129594818.60749;28233712830.9035;75492384801.3695;82470913120.7314;104115923082.737;115398371427.673;124912063308.202;126776874216.703;102962245246.708;95335111741.2025
Argentina;141352368714.691;258031750000;284203750000;198737095012.282;332976484577.619;423627422092.49;530163281574.658;545982375701.128;552025140252.246;526319673731.638;584711485367.267;545476103427.247
Australia;311425933051.174;368391743391.743;415446209885.072;693764095624.718;927168310999.853;1142876772659.21;1390557034407.97;1538194473087.23;1567178619062.28;1459597906912.7;1345383143356.35;1204616439828.41
Austria;166463386663.439;241038283062.645;196799778883.361;315974418604.651;400172297860.517;391892746544.69;431120310088.82;409425234155.263;430068712971.867;441885415805.825;382065930307.978;390799991147.468
Azerbaijan;8858006035.91566;3052467522.36104;5272617196.04517;13245716099.0057;44291490420.5026;52902703376.1057;65951627200.2026;69684317718.9409;74164435946.4627;75244166772.9185;53074370486.0433;37847715736.0406
Bangladesh;31598341233.5793;37939748051.3878;53369787318.6245;69442943089.4309;102477791472.39;115279077465.226;128637938711.386;133355749482.478;149990451022.29;172885454931.453;195078665827.565;221415162445.648
Belarus;21650000000;13972630803.5817;12736856827.9847;30210091836.8294;49209523809.5238;57222490768.7143;61757788944.7236;65685102554.8759;75527984234.2342;78813839984.3506;56454734396.5842;47407217531.162
Belgium;206430841501.69;289567323481.117;237904919845.218;387365750528.541;484552792442.345;483548031197.109;527008453886.929;497884216568.867;520925468952.938;531075861047.287;455200045095.643;467955709817.539
Bolivia;4867582620.20708;6715220507.05164;8397912509.09679;9549077869.1065;17339992165.2422;19649631308.1648;23963033443.8518;27084497539.7974;30659338929.0883;32996187988.4226;33000198263.3864;33806395513.7482
Botswana;3790567051.86778;4730611067.02258;5788329609.15755;9931134940.51346;10267133177.7334;12786654365.8738;15682926895.9668;14686278707.4589;14915780538.6724;16259445052.5565;14430573505.3797;15581137273.7728
Brazil;461951782000;785643456467.255;655421153320.579;891629970423.924;1667019605881.76;2208871646202.82;2616201578192.25;2465188674415.03;2472806919901.67;2455993200170;1803652649613.75;1796186586414.45
Bulgaria;20632090909.0909;13063422619.0476;13148099185.2305;29821662537.3229;51884481410.3931;50610031135.7791;57418391041.5926;53903028252.2996;55758744571.1183;56732006512.0065;50199117547.0415;53237882472.7108
Cameroon;11151578050.7356;9643953174.7735;10083937740.0624;17944084201.4901;26017925551.8426;26143818509.6421;29337006833.0825;29104437355.0395;32348149947.3727;34942948737.3967;30916218544.4404;32217497470.489
Canada;593929550908.468;604031623433.401;742293448252.643;1169357979864.66;1371153004986.44;1613464422811.13;1788647906047.76;1824288757447.57;1842628005830.18;1792883225804.38;1552807652015.37;1529760492201.35
Chile;33113887817.9731;73447063319.3034;77860932151.8471;122964812046.073;172389498444.621;218537551220.071;252251992029.442;267122320056.702;278384332694.313;260990299051.116;242517905161.664;247027912574.35
China;360857912565.966;734547898220.508;1211346869605.24;2285965892360.54;5109953609257.25;6100620488867.55;7572553836875.34;8560547314679.28;9607224481532.65;10482372109961.9;11064666282625.5;11199145157649.2
Colombia;40274204595.2296;92507279383.0387;99886577330.7271;146566266310.568;233821670220.294;287018179193.923;335415162155.574;369659697842.885;380191876348.93;378195707612.393;291519596338.693;282462551366.878
Congo;9349764580.35198;5643439262.21735;19088046305.7971;11964484667.9102;16243885021.0486;20523285374.187;23849009737.6669;27463220380.0054;30014813755.772;34028119332.6086;36188521106.9294;31930856401.9163
Costa Rica;7403457319.20472;11513472693.8707;14949514585.1585;19952156474.8454;30562361123.0307;37268635287.0856;42262697840.385;46473128285.5589;49745088111.6953;50656002895.8763;54840103850.265;57435507212.256
Côte d'Ivoire;10795850106.9547;11000146839.497;10717022462.6859;17084928927.4555;24277493862.0625;24884505034.5564;25381616734.0693;27040562587.1771;31273049200.243;35372603446.2605;33145096414.0731;36372613022.942
Croatia;;22387561845.2244;21774273832.1031;45416358501.9835;62703095750.5257;59665427464.5326;62236751773.0497;56485301967.4205;57769872074.883;57080369367.8021;48921877447.764;50714957390.5378
Cuba;28645436569.1489;30429803651.2192;30565400000;42643836074.8;62080000000;64328000000;68990000000;73141000000;77148000000;80656100000;87132800000;87132800000
Cyprus;5591130217.66965;9826778783.9586;10183317624.8822;18703146374.829;25942622950.8197;25562251655.6291;27427161523.4918;25041372221.5084;24084572490.7063;23359294148.8656;19676167239.6584;20047013274.3363
Czech Republic;40477403219.5176;59775697061.0399;61649492816.5201;136280689891.224;206179982164.402;207477857918.919;227948349666.354;207376427020.815;209402444996.104;207818330723.835;186829940545.759;195305084919.138
Denmark;138247261092.977;185006961302.299;164158800460.22;264467308109.19;321241396034.248;321995350346.501;344003209695.606;327148899962.146;343584385594.132;352993633221.281;301298464861.385;306899653409.601
Dominican Republic;7073674721.12418;16358496124.031;23996063503.0497;34004033803.9438;48376555305.6902;53954579003.5277;57746684847.0898;60613645121.3529;61965942056.6828;65231032303.2418;68102618092.1031;71583553487.5646
Ecuador;15239278100.3502;24432884442.2211;18327764882.4412;41507085000;62519686000;69555367000;79276664000;87924544000;95129659000;101726331000;99290381000;98613972000
Egypt;43130416913.4141;60159245060.4542;99838543960.0763;89685725230.2517;188982374700.805;218888324504.753;236001858960.015;279372758361.832;288586231501.877;305529656458.438;332698041030.807;332791045963.807
El Salvador;4800900000;9500500000;13134100000;17093800000;20661030000;21418330000;23139040000;23813600000;24350930000;25054230000;26052340000;26797470000
Estonia;;4373665145.55468;5685774808.80862;14006088297.4754;19652492636.8436;19490936349.1753;23170239900.7654;23043864510.0543;25137153149.4377;26224622450.8302;22566956982.229;23337907618.5174
Ethiopia;12175166763.285;7663984567.90123;8242392103.68061;12401139453.9738;32437389116.038;29933790334.3418;31952763089.33;43310721414.0829;47648211133.2183;55612228233.5179;64464547915.2698;72374224249.3997
Finland;141517648888.198;134199346405.229;125539893126.958;204436015420.968;251499027507.641;247799815768.477;273674236772.815;256706466091.089;269980111642.898;272609288689.575;232439324529.645;238502900311.9
France;1275300566196.84;1609892232882.11;1368438363736.87;2203678646934.46;2693827452070.02;2646837111794.78;2862680142625.14;2681416108537.39;2808511203185.39;2849305322684.76;2433562015516.21;2465453975282.24
Germany;1764967948916.6;2591620035485.19;1949953934033.54;2861410272354.18;3418005001389.27;3417094562648.95;3757698281117.55;3543983909148.01;3752513503278.41;3890606893346.69;3375611100742.22;3477796274496.8
Ghana;5889174833.90034;6465137614.6789;4983024408.14828;10731634116.7384;25977847813.7422;32174772955.9748;39566292432.8615;41939728978.7281;47805069494.9081;38616536131.648;37543361203.5609;42689783733.873
