;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Afghanistan;3622000000;3236000000;2963000000;6209137624.77181;12439087076.7667;15856574731.441;17804292964.1045;20001598505.7042;20561069558.2152;20484885119.7348;19907111418.9938;18017749073.6362;18869945678.4215;18353881129.5246;19291104007.6135;19807067268.1084
Albania;0;2392764853.42107;3480355188.60063;8052075642.10781;12044223352.5413;11926928505.5231;12890765324.2256;12319830252.4768;12776217194.7928;13228144008.3428;11386846319.1589;11861200797.4707;13019693450.8816;15147020535.3869;15286612572.6895;14799615097.1008
Algeria;62045099642.7774;41764052457.8814;54790233855.966;103198251003.394;137206139022.712;161155315145.814;200254371997.255;209021250805.932;209724351221.97;213860450595.829;165979173991.026;160034162957.738;170097230857.956;175414987760.927;171157803367.473;145163902228.168
Angola;11228764963.1618;5538749259.94714;9129594818.60749;36970918699.2523;70307163678.238;83799496611.2004;111789686464.441;128052853643.106;136709862831.194;145712200312.505;116193649124.151;101123851090.455;122123822333.591;101353230784.594;89417190341.2533;62306913444.2917
Argentina;141352368714.691;258031750000;284203750000;198737095012.282;332976484577.619;423627422092.49;530163281574.658;545982375701.128;552025140252.246;526319673731.638;594749285413.212;557531376217.967;643628665302.155;517626700412.885;445445177459.453;383066977653.56
Armenia;0;1468317350.06841;1911563665.39006;4900469950.09033;8647936747.98704;9260284937.79781;10142111334.4961;10619320048.5857;11121465767.4067;11609512939.7543;10553337672.9872;10546135160.031;11527458565.7334;12457941907.0333;13672802157.8324;12645459213.5235
Australia;310781069642.17;367216364716.365;415222633925.768;693407758231.845;927805183330.879;1146138465603.81;1396649906339.35;1546151783872.96;1576184467015.49;1467483705131.74;1351693984524.5;1208846993739.99;1329188475752.32;1432881172002.17;1396567014733.23;1330900925056.98
Austria;166463386179.354;241038283062.645;196799778883.361;315974418604.651;400172297860.517;391892746544.69;431120310088.82;409425234155.263;430068712971.867;441996131736.508;381817565893.574;395568644341.038;416207272209.538;454872626780.005;445075391688.156;430947393757.511
Azerbaijan;0;3052467522.36104;5272617196.04517;13245716099.0057;44291490420.5026;52902703376.1057;65951627200.2026;69683935845.2139;74164435946.4627;75244294275.1498;53074370486.0433;37867518957.1975;40865558912.3867;47112941176.4706;48174235294.1177;42607176470.5882
Bahamas;3166000000;3429000000;8076470000;9836200000;9981960000;10095760000;10070450000;10720500000;10568400000;11111600000;11710800000;11928500000;12490700000;13022100000;13578800000;11250000000
Bahrain;4229787234.04255;5849467819.14894;9062898936.17021;15968723404.2553;22938218085.1064;25713271276.5957;28776595744.6809;30749308510.6383;32539468085.1064;33387712765.9574;31050638297.8723;32234973404.2553;35473776595.7447;37652500000;38474521276.5957;38474521276.5957
Bangladesh;31598341233.559;37939748768.6567;53369787318.6245;69442943089.4309;102477791472.39;115279077465.226;128637938711.386;133355749482.478;149990451022.29;172885454931.453;195078678697.23;221415188000.475;249710922462.309;274038973437.275;302563398919.928;324239176765.053
Belarus;21650000000;13972676840.918;12736856827.9847;30207567316.6202;50874078052.2736;57222490768.7143;61757788944.7236;65685102554.8759;75527984234.2342;78813839984.3506;56454734396.5842;47722657820.6675;54726595249.1849;60031262269.3365;64409647193.8044;60258239055.5829
Belgium;205331747947.851;288025588396.278;236204532891.1;385570948886.954;481345929424.84;480951629493.033;522645519183.591;496181260258.3;521642714407.843;534678075827.361;462149679343.822;475739588764.759;501522868356.441;543410654016.602;533254518108.234;515332499627.861
