Dominican Republic;7133491;7819239;8471317;9097262;9576736;9695117;9813219;9930916;10048226;10165182;10281675;10397738;10513111;10627147;10738957;10847904
Ecuador;10230931;11455205;12681123;13825839;14774412;15011114;15243885;15474099;15707473;15951832;16212022;16491116;16785356;17084359;17373657;17643060
Egypt;56134478;62334025;68831561;75523576;81134789;82761244;84529251;86422240;88404652;90424668;92442549;94447071;96442590;98423602;100388076;102334403
El Salvador;5270074;5628602;5887930;6052124;6157678;6183877;6210567;6237922;6266076;6295124;6325121;6356137;6388124;6420740;6453550;6486201
Equatorial Guinea;419188;496768;606180;749527;901589;943640;986861;1031191;1076412;1122273;1168575;1215181;1262008;1308966;1355982;1402985
Estonia;1569174;1436634;1396985;1354775;1334515;1331475;1327439;1322696;1317997;1314545;1315407;1315790;1317384;1321977;1326898;1331057
Ethiopia;47887864;57047906;66224809;76346310;85233923;87639962;90139928;92726982;95385793;98094264;100835453;103603461;106399926;109224410;112078727;114963583
European Union;;;;462694349;498888886;498867771;498674980;499771765;505163053;507235091;508520205;510181874;511378572;512372000;513093556;447319916
Finland;4986431;5107790;5176209;5246096;5338871;5363352;5388272;5413971;5438972;5461512;5479531;5495303;5508214;5515525;5521606;5530719
France;58235716;59541904;60912500;63179356;64707035;65027505;65342789;65659814;65998685;66312067;66548272;66724104;66918020;67101930;67248926;67391582
Gabon;949493;1084951;1228359;1390550;1568925;1624146;1684629;1749677;1817070;1883801;1947690;2007882;2064812;2119275;2172578;2225728
Georgia;4802000;4657722;4077131;3902469;3814419;3786695;3756441;3728874;3717668;3719414;3725276;3727505;3728004;3726549;3720161;3714000
Germany;79433029;81678051;82211508;82469422;81902307;81776930;80274983;80425823;80645605;80982500;81686611;82348669;82657002;82905782;83092962;83240525
Ghana;14773274;17014058;19278850;21814648;24170943;24779614;25387713;25996454;26607641;27224480;27849203;28481947;29121464;29767108;30417858;31072945
Greece;10196792;10562153;10805808;10987314;11107017;11121341;11104899;11045011;10965211;10892413;10820883;10775971;10754679;10732882;10721582;10715549
Guatemala;9050115;10286786;11589761;12948292;14000190;14259687;14521515;14781942;15043981;15306316;15567419;15827690;16087418;16346950;16604026;16858333
Guinea;6352282;7269631;8240735;9109585;9964470;10192168;10420459;10652032;10892821;11150970;11432096;11738434;12067516;12414292;12771246;13132792
Haiti;7037915;7744509;8463802;9195289;9798046;9949318;10100320;10250922;10400672;10549007;10695540;10839976;10982367;11123183;11263079;11402533
Honduras;4955302;5709010;6574510;7458982;8150780;8317467;8480670;8640692;8798524;8955579;9112904;9270794;9429016;9587523;9746115;9904608
Hungary;10373988;10328965;10210971;10087065;10022650;10000023;9971727;9920362;9893082;9866468;9843028;9814023;9787966;9775564;9771141;9749763
Iceland;254826;267468;281205;296734;318499;318041;319014;320716;323764;327386;330815;335439;343400;352721;360563;366425
India;873277799;963922586;1056575548;1147609924;1217726217;1234281163;1250287939;1265780243;1280842119;1295600768;1310152392;1324517250;1338676779;1352642283;1366417756;1380004385
Indonesia;181413398;196934257;211513822;226289468;238620554;241834226;245115988;248451714;251805314;255128076;258383257;261556386;264650969;267670549;270625567;273523621
Iran;56366212;61442658;65623397;69762345;72924833;73762519;74634959;75539881;76481963;77465769;78492208;79563991;80673888;81800204;82913893;83992953
Iraq;17419113;20149342;23497589;26922279;28973157;29741977;30725305;31890012;33157061;34411949;35572269;36610632;37552789;38433604;39309789;40222503
Ireland;3513974;3608841;3805174;4159914;4535375;4560155;4580084;4599533;4623816;4657740;4701957;4755335;4807388;4867316;4934340;4994724
Israel;4660000;5545000;6289000;6930100;7485600;7623600;7765800;7910500;8059500;8215700;8380100;8546000;8713300;8882800;9054000;9216900
Italy;56719240;56844303;56942108;57969484;59095365;59277417;59379449;59539717;60233948;60789140;60730582;60627498;60536709;60421760;59729081;59554023
Jamaica;2419901;2533705;2654698;2740000;2795839;2810464;2825932;2842128;2858710;2875137;2891024;2906242;2920848;2934853;2948277;2961161
Japan;123478000;125472000;126843000;127773000;128047000;128070000;127833000;127629000;127445000;127276000;127141000;126994511;126785797;126529100;126264931;125836021
Jordan;3565888;4588842;5122495;5765639;6893258;7261541;7662858;8089963;8518992;8918822;9266573;9554286;9785840;9965322;10101697;10203140
Kazakhstan;16348000;15816243;14883626;15147029;16092822;16321872;16557202;16792090;17035551;17288285;17542806;17794055;18037776;18276452;18513673;18754440
Kenya;23724574;27768297;31964557;36624897;40901798;42030684;43178270;44343469;45519986;46700063;47878339;49051531;50221146;51392570;52573967;53771300
