Greece;97891090928.63;136878366230.33;130495109913.40;247783001865.44;330000252153.38;299379400264.90;287779921184.32;245670666639.05;239509850570.45;235574074998.31
Guatemala;7650125576.46;14656917900.17;19290566570.05;27211376360.71;37733609953.93;41338008265.28;47654787037.27;50388460222.63;53851148431.93;58827085046.95
Hungary;34583889128.25;46199009359.93;47169872903.46;112530908271.02;129774040645.11;130093753005.68;139930994006.62;127176184359.09;134401774737.92;138346669914.95
India;326608014285.32;366600193391.35;476609148165.17;834214699568.14;1365371474048.93;1708458876830.18;1835814449585.35;1831781515472.09;1861801615477.85;2048517438873.54
Indonesia;114426498045.01;202132032843.81;165021012261.41;285868619205.81;539580085612.40;755094157594.53;892969104529.57;917869913364.92;910478729099.04;888538201025.35
Iraq;n.d;n.d;n.d;49954890353.26;111660855042.74;138516722649.57;185749664444.44;218000986222.64;232497236277.87;223508094682.68
Iran (Islamic Republic of);124813270133.82;96419225743.65;109591707802.22;219845971945.26;398978104575.33;467790215915.47;592037800186.86;587209369682.67;511620875086.78;425326068422.88
Ireland;49361026051.84;69217500631.31;99833960199.01;211388699291.13;235387174076.13;220076114437.09;241784795802.06;224652132155.01;238259956626.79;250813607686.11
Iceland;6521544489.21;7181787873.87;8924735422.81;16749309720.13;12855269883.79;13236887873.05;14665358676.72;14194519025.26;15376604281.45;17036097481.81
Israel;52490325640.30;99968784246.01;132396684080.15;142837533703.23;208068814688.61;234321743781.76;261764344205.03;259613579190.33;292408330563.86;305674837195.00
Italy;1177755282967.03;1171213958754.31;1142213771697.07;1853512452182.56;2186239347457.63;2126747575629.14;2278089156658.33;2074631555455.23;2133539300229.70;2141161325367.43
Japan;326608014285.32;366600193391.35;476609148165.17;834214699568.14;5035141567658.90;1708458876830.18;1835814449585.35;1831781515472.09;1861801615477.85;2048517438873.54
Kazakhstan;26932728898.81;20374307047.12;18291990619.14;57123671733.90;115308661142.93;148047348240.64;188048960311.23;203517198088.69;231876282133.87;217872250221.41
Kenya;8572359162.87;9046326059.99;12705357103.01;18737895401.13;37021512048.82;39999659233.76;41953433591.41;50410164013.55;54930813987.92;60936509777.96
Kuwait;18427778571.05;27191689008.04;37711864406.78;80797945205.48;105899930507.30;115419050942.08;154027536231.88;174070025008.93;174161495063.47;163612438510.19
Latvia;;5785037079.29;7934770567.79;16903250777.85;26144610786.77;23743309485.96;28385281828.38;28023276371.58;30241650059.78;31286809075.23
Libya;28904898117.74;25544128199.00;38270206950.41;47334148578.42;63028320702.03;74773444900.54;34699395523.61;81905365776.33;65509594212.02;41142722414.34
Lithuania;;7870782260.52;11539211480.36;26125575942.28;37440673477.90;37132564255.43;43505562065.13;42852204396.45;46412093986.46;48353937110.26
Luxembourg;13361108522.45;21803347564.31;21375345494.75;36977365999.25;50386496248.96;52351655629.14;58697386711.15;55986712367.80;61794506555.51;64873963098.49
Malaysia;44024177914.61;88704944178.63;93789736842.11;143534102611.50;202257586267.56;255016919685.82;297951960784.31;314442825692.83;323342854422.55;338103822298.27
Malta;2547330284.04;3599683395.47;3957418082.80;5990648161.97;8099400960.98;8163355021.12;9302635890.16;8882509103.83;9642848650.12;9642848650.12
Morocco;28839382990.75;37183957845.43;37020609824.96;59523857868.02;92897320375.82;93216746661.60;101370474295.11;98266306615.36;107316974437.74;110009040838.42
Mexico;262709785592.71;343792780638.90;683647980782.41;866346483685.30;893368974136.97;1049925441358.02;1169362160456.56;1184499844413.23;1258773797056.06;1294689733233.03
Myanmar;n.d;n.d;n.d;n.d;n.d;n.d;n.d;74690930782.39;58652241646.01;64330038664.73
Nigeria;30757075595.37;28546958641.27;46385996028.95;112248324605.53;169481317540.36;369062464570.39;411743801711.64;460953836444.36;514964650436.05;568508262377.80
Norway;119791683307.51;152027402449.80;171315639982.73;308722079937.91;386383919342.27;428524701366.60;498157406416.16;509704856037.82;522349106382.98;499817138323.20
New Zealand;45495167573.06;63918404822.00;52623101831.12;115061331901.71;120466631957.02;145287593385.21;166139807789.54;166.14;166.14;166139807789.54
Oman;11685045607.85;13802600780.23;19507412223.67;31081924577.37;48388296488.95;58641352405.72;67937581274.38;76341482444.73;78182574772.43;81796618985.70
Netherlands;314267667675.18;446528959648.64;412807259996.32;678533764457.16;857932759099.75;836439735099.34;893701695857.66;828946812396.79;864169242952.93;879319321494.64
Pakistan;40010425585.09;60636022422.62;73952374969.80;109502102510.88;168152775283.03;177406854514.89;213755282058.72;224646134571.40;231086513914.87;243631917866.48
Peru;25710059622.06;51990003413.42;50980861887.16;74947898079.90;121192333742.78;148522048127.96;170564249004.95;192679697094.17;201848484663.51;202596307719.12
Poland;64712371654.14;139411289237.11;171885598582.64;304410137536.70;436476394987.34;479242529764.87;528742068313.76;500227851988.33;524059039422.89;544966555714.06
Portugal;78721607509.49;118133634071.91;118358489957.62;197304513120.26;243745748819.12;238317631788.08;244879869335.56;216368178659.45;226073492966.50;230116912513.59
Qatar;7360439210.95;8137911978.02;17759890109.89;44530494505.49;97798351648.35;125122306346.15;169804735989.01;190289835164.84;201885439560.44;210109065934.07
United Kingdom;1093169389204.55;1237561937825.47;1554801028899.98;2418941818181.82;2314577036921.64;2403504326328.80;2594904662714.31;2630472981169.65;2712296271989.99;2988893283565.20
Czech Republic;40315847383.72;59537113790.50;61474265134.54;135990215966.67;205729790694.02;207015860050.37;227313162936.05;206441578342.49;208328435108.82;205269709743.47
Dominican Republic;7073674721.12;16358496124.03;23996100575.49;34004081037.34;48193458082.83;53864484468.12;58361928551.83;60595109805.12;61366326096.19;64137819040.49
Romania;38299106119.93;35482292670.93;37438527799.53;99697566667.81;167422949529.40;167998080493.41;185362855081.02;172043567268.32;191587217163.98;199043652215.45
Russian Federation;516814258695.57;395531066563.30;259708496267.33;764017107992.39;1222644282201.86;1524917468442.01;1904793932483.16;2016112133645.48;2079024782973.32;1860597922763.44
Singapore;36152800270.05;87890009877.24;95833932714.62;127417688055.76;192408387762.12;236421782178.22;275364525361.74;289935584540.29;302245904259.57;307859758503.67
Syria;12308624283.98;11396706586.83;19325894913.13;28858965517.24;n.d;n.d;n.d;n.d;n.d;n.d
Sri Lanka;8032551173.24;13029697560.98;16330810303.86;24406252456.51;42066217871.53;56725780417.37;65292732252.10;68434422593.76;74317814502.32;78823610056929600000.00
South Africa;112013934439.91;155460234815.69;136361791002.62;257771618013.00;295936471258.13;375349442837.24;416596716626.96;397386418270.40;366243783486.35;350085020840.25
Sudan;12408647780.45;13829744878.64;12257418326.07;26524538565.74;53150209167.93;65634109236.77;67327289319.73;62688889672.54;66480141187.35;73814947340.90
Sweden;258154283908.90;264051981551.32;259802012617.06;389042298376.85;429657033107.74;488379327089.84;563113421113.42;543880647757.40;578742001487.57;571090480171.00
Switzerland;257420293190.33;341759012938.69;271659728209.38;407535656039.19;539528229942.10;581211708792.79;696311671959.46;665408300271.74;684919206141.13;701037135966.05
Thailand;85343189320.75;169278552851.27;126392308497.75;189318499954.00;281574762729.76;340923571200.89;370608559050.50;397471809439.86;420166569029.49;404823952117.93
Tanzania;4258742898.94;5255221424.81;10185786382.83;16929976600.14;28573777052.45;31407908612.09;33878631649.42;39087748240.44;44384603619.54;48056680982.15
Turkmenistan;3232066836.53;2482228439.71;2904662604.82;8104355716.88;20214385964.91;22148070175.44;29233333333.33;35164210526.32;41012982456.14;47931929824.56
Turkey;150676291094.21;169485941048.04;266567532789.51;482979839089.02;614553921806.45;731168051903.11;774754155283.58;788863301670.38;823242587404.14;798429233036.33
Ukraine;81456918678.50;48214752454.23;31261718319.18;86142018069.35;117227769791.56;136419300367.96;163159671670.27;175781379051.43;183310146378.08;131805126738.29
Uruguay;9298839655.23;19297663096.55;22823255801.84;17362857683.85;31660911277.03;40284682479.86;47962439303.72;51384870651.20;57524653093.51;57471030095.37
Uzbekistan;13360607990.68;13350468917.41;13760374487.51;14307509838.81;32816828372.98;39332770928.94;45324319955.39;51183443224.99;56795656324.58;62643953021.76
Venezuela;47027508385.03;74888742183.68;117147614565.56;145513489651.87;329418979506.29;393801459277.33;316482190800.36;381286237847.67;381286237847.67;381286237847.67
Vietnam;6471740486.32;20736163915.24;33640085727.51;57633255739.40;106014600963.98;115931749904.84;135539487317.01;155820001920.49;171222025390.00;186204652922.26
