id_master_country;cod_unstats_num;cod_unstats_alpha;cod_eurostat;full_name_en_order;full_name_es_order;full_name_en;full_name_es;short_name_en_order;short_name_es_order;short_name_en;short_name_es;date_in;date_out;country;geom
un070;070;BIH;BA;Bosnia and Herzegovina;Bosnia y Herzegovina;Bosnia and Herzegovina;Bosnia y Herzegovina;Bosnia and Herzegovina;Bosnia y Herzegovina;Bosnia and Herzegovina;Bosnia y Herzegovina;;;t;
un072;072;BWA;;Botswana;Botswana;Botswana;Botswana;Botswana;Botswana;Botswana;Botswana;;;t;
un084;084;BLZ;;Belize;Belice;Belize;Belice;Belize;Belice;Belize;Belice;;;t;
un090;090;SLB;;Solomon Islands;Islas Salomón;Solomon Islands;Islas Salomón;Solomon Islands;Islas Salomón;Solomon Islands;Islas Salomón;;;t;
un092;092;VGB;;British Virgin Islands;Islas Vírgenes Británicas;British Virgin Islands;Islas Vírgenes Británicas;British Virgin Islands;Islas Vírgenes Británicas;British Virgin Islands;Islas Vírgenes Británicas;;;t;
un292;292;GIB;;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;;;t;
un096;096;BRN;;Brunei Darussalam;Brunei Darussalam;Brunei Darussalam;Brunei Darussalam;Brunei Darussalam;Brunei Darussalam;Brunei Darussalam;Brunei Darussalam;;;t;
un100;100;BGR;BG;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;Bulgaria;;;t;
un104;104;MMR;;Myanmar;Myanmar;Myanmar;Myanmar;Myanmar;Myanmar;Myanmar;Myanmar;;;t;
un108;108;BDI;;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi;;;t;
un112;112;BLR;BY;Belarus;Bielorrusia;Belarus;Bielorrusia;Belarus;Bielorrusia;Belarus;Bielorrusia;;;t;
un116;116;KHM;;Cambodia;Camboya;Cambodia;Camboya;Cambodia;Camboya;Cambodia;Camboya;;;t;
un120;120;CMR;;Cameroon;Camerún;Cameroon;Camerún;Cameroon;Camerún;Cameroon;Camerún;;;t;
un124;124;CAN;;Canada;Canadá;Canada;Canadá;Canada;Canadá;Canada;Canadá;;;t;
un132;132;CPV;;Cabo Verde;Cabo Verde;Cabo Verde;Cabo Verde;Cabo Verde;Cabo Verde;Cabo Verde;Cabo Verde;;;t;
un136;136;CYM;;Cayman Islands;Islas Caimán;Cayman Islands;Islas Caimán;Cayman Islands;Islas Caimán;Cayman Islands;Islas Caimán;;;t;
un140;140;CAF;;Central African Republic;República Centroafricana;Central African Republic;República Centroafricana;Central African Republic;República Centroafricana;Central African Republic;República Centroafricana;;;t;
un144;144;LKA;;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;;;t;
un148;148;TCD;;Chad;Chad;Chad;Chad;Chad;Chad;Chad;Chad;;;t;
un152;152;CHL;;Chile;Chile;Chile;Chile;Chile;Chile;Chile;Chile;;;t;
un156;156;CHN;;China;China;China;China;China;China;China;China;;;t;
un170;170;COL;;Colombia;Colombia;Colombia;Colombia;Colombia;Colombia;Colombia;Colombia;;;t;
un174;174;COM;;Comoros;Comoras;Comoros;Comoras;Comoros;Comoras;Comoros;Comoras;;;t;
un175;175;MYT;;Mayotte;Mayotte;Mayotte;Mayotte;Mayotte;Mayotte;Mayotte;Mayotte;;;t;
un178;178;COG;;Congo;Congo;Congo;Congo;Congo;Congo;Congo;Congo;;;t;
un180;180;COD;;Democratic Republic of the Congo;República Democrática del Congo;Democratic Republic of the Congo;República Democrática del Congo;Democratic Republic of the Congo;República Democrática del Congo;Democratic Republic of the Congo;República Democrática del Congo;;;t;
un184;184;COK;;Cook Islands;Islas Cook;Cook Islands;Islas Cook;Cook Islands;Islas Cook;Cook Islands;Islas Cook;;;t;
un188;188;CRI;;Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;;;t;
un191;191;HRV;HR;Croatia;Croacia;Croatia;Croacia;Croatia;Croacia;Croatia;Croacia;;;t;
un192;192;CUB;;Cuba;Cuba;Cuba;Cuba;Cuba;Cuba;Cuba;Cuba;;;t;
un196;196;CYP;CY;Cyprus;Chipre;Cyprus;Chipre;Cyprus;Chipre;Cyprus;Chipre;;;t;
un203;203;CZE;CZ;Czech Republic;República Checa;Czech Republic;República Checa;Czech Republic;República Checa;Czech Republic;República Checa;;;t;
un204;204;BEN;;Benin;Benín;Benin;Benín;Benin;Benín;Benin;Benín;;;t;
un208;208;DNK;DK;Denmark;Dinamarca;Denmark;Dinamarca;Denmark;Dinamarca;Denmark;Dinamarca;;;t;
un212;212;DMA;;Dominica;Dominica;Dominica;Dominica;Dominica;Dominica;Dominica;Dominica;;;t;
un214;214;DOM;;Dominican Republic;República Dominicana;Dominican Republic;República Dominicana;Dominican Republic;República Dominicana;Dominican Republic;República Dominicana;;;t;
un218;218;ECU;;Ecuador;Ecuador;Ecuador;Ecuador;Ecuador;Ecuador;Ecuador;Ecuador;;;t;
un222;222;SLV;;El Salvador;El Salvador;El Salvador;El Salvador;El Salvador;El Salvador;El Salvador;El Salvador;;;t;
un226;226;GNQ;;Equatorial Guinea;Guinea Ecuatorial;Equatorial Guinea;Guinea Ecuatorial;Equatorial Guinea;Guinea Ecuatorial;Equatorial Guinea;Guinea Ecuatorial;;;t;
un231;231;ETH;;Ethiopia;Etiopía;Ethiopia;Etiopía;Ethiopia;Etiopía;Ethiopia;Etiopía;;;t;
un232;232;ERI;;Eritrea;Eritrea;Eritrea;Eritrea;Eritrea;Eritrea;Eritrea;Eritrea;;;t;
un233;233;EST;EE;Estonia;Estonia;Estonia;Estonia;Estonia;Estonia;Estonia;Estonia;;;t;
un234;234;FRO;;Faeroe Islands;Islas Feroe;Faeroe Islands;Islas Feroe;Faeroe Islands;Islas Feroe;Faeroe Islands;Islas Feroe;;;t;
eu904;;;;European Neighbourhood Policy (ENP)-East;Política de Vecindad de la Unión Europea-Este;European Neighbourhood Policy (ENP)-East;Política de Vecindad de la Unión Europea-Este;European Neighbourhood Policy (ENP)-East;Política de Vecindad de la Unión Europea-Este;European Neighbourhood Policy (ENP)-East;Política de Vecindad de la Unión Europea-Este;;;f;
un830;830;;;Channel Islands;Islas Anglonormandas;Channel Islands;Islas Anglonormandas;Channel Islands;Islas Anglonormandas;Channel Islands;Islas Anglonormandas;;;t;
un680;680;;;Sark;Sark;Sark;Sark;Sark;Sark;Sark;Sark;;;t;
un410;410;KOR;;Republic of Korea;República de Corea;Republic of Korea;República de Corea;Republic of Korea;República de Corea;Republic of Korea;República de Corea;;;t;
un419;419;;;Latin America and the Caribbean;América Latina y El Caribe;Latin America and the Caribbean;América Latina y El Caribe;Latin America and the Caribbean;América Latina y El Caribe;Latin America and the Caribbean;América Latina y El Caribe;;;t;
un238;238;FLK;;Falkland Islands (Malvinas);Islas Malvinas;Falkland Islands (Malvinas);Islas Malvinas;Falkland Islands (Malvinas);Islas Malvinas;Falkland Islands (Malvinas);Islas Malvinas;;;t;
un242;242;FJI;;Fiji;Fiji;Fiji;Fiji;Fiji;Fiji;Fiji;Fiji;;;t;
un246;246;FIN;FI;Finland;Finlandia;Finland;Finlandia;Finland;Finlandia;Finland;Finlandia;;;t;
un248;248;ALA;;Åland Islands;Islas Aland;Åland Islands;Islas Aland;Åland Islands;Islas Aland;Åland Islands;Islas Aland;;;t;
un250;250;FRA;FR;France;Francia;France;Francia;France;Francia;France;Francia;;;t;
un254;254;GUF;;French Guiana;Guayana Francesa;French Guiana;Guayana Francesa;French Guiana;Guayana Francesa;French Guiana;Guayana Francesa;;;t;
un258;258;PYF;;French Polynesia;Polinesia Francesa;French Polynesia;Polinesia Francesa;French Polynesia;Polinesia Francesa;French Polynesia;Polinesia Francesa;;;t;
un262;262;DJI;;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;Djibouti;;;t;
un266;266;GAB;;Gabon;Gabón;Gabon;Gabón;Gabon;Gabón;Gabon;Gabón;;;t;
un268;268;GEO;GE;Georgia;Georgia;Georgia;Georgia;Georgia;Georgia;Georgia;Georgia;;;t;
un270;270;GMB;;Gambia;Gambia;Gambia;Gambia;Gambia;Gambia;Gambia;Gambia;;;t;
un275;275;PSE;PS;State of Palestine;Estado de Palestina;State of Palestine;Estado de Palestina;State of Palestine;Estado de Palestina;State of Palestine;Estado de Palestina;;;t;
un276;276;DEU;DE;Germany;Alemania;Germany;Alemania;Germany;Alemania;Germany;Alemania;;;t;
un288;288;GHA;;Ghana;Ghana;Ghana;Ghana;Ghana;Ghana;Ghana;Ghana;;;t;
un296;296;KIR;;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;;;t;
un300;300;GRC;EL;Greece;Grecia;Greece;Grecia;Greece;Grecia;Greece;Grecia;;;t;
un304;304;GRL;;Greenland;Groenlandia;Greenland;Groenlandia;Greenland;Groenlandia;Greenland;Groenlandia;;;t;
un308;308;GRD;;Grenada;Granada;Grenada;Granada;Grenada;Granada;Grenada;Granada;;;t;
un312;312;GLP;;Guadeloupe;Guadalupe;Guadeloupe;Guadalupe;Guadeloupe;Guadalupe;Guadeloupe;Guadalupe;;;t;
un316;316;GUM;;Guam;Guam;Guam;Guam;Guam;Guam;Guam;Guam;;;t;
un320;320;GTM;;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;;;t;
un324;324;GIN;;Guinea;Guinea;Guinea;Guinea;Guinea;Guinea;Guinea;Guinea;;;t;
un328;328;GUY;;Guyana;Guyana;Guyana;Guyana;Guyana;Guyana;Guyana;Guyana;;;t;
un332;332;HTI;;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;;;t;
un336;336;VAT;;Holy See;Santa Sede;Holy See;Santa Sede;Holy See;Santa Sede;Holy See;Santa Sede;;;t;
un340;340;HND;;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;Honduras;;;t;
un728;728;SSD;;South Sudan;Sudán del Sur;South Sudan;Sudán del Sur;South Sudan;Sudán del Sur;South Sudan;Sudán del Sur;;;t;
un729;729;SDN;;Sudan;Sudán;Sudan;Sudán;Sudan;Sudán;Sudan;Sudán;;;t;
un344;344;HKG;;China, Hong Kong Special Administrative Region;China, Región Especial Administrativa de Hong Kong;China, Hong Kong Special Administrative Region;China, Región Especial Administrativa de Hong Kong;China, Hong Kong Special Administrative Region;China, Región Especial Administrativa de Hong Kong;China, Hong Kong Special Administrative Region;China, Región Especial Administrativa de Hong Kong;;;t;
un352;352;ISL;IS;Iceland;Islandia;Iceland;Islandia;Iceland;Islandia;Iceland;Islandia;;;t;
un356;356;IND;;India;India;India;India;India;India;India;India;;;t;
un360;360;IDN;;Indonesia;Indonesia;Indonesia;Indonesia;Indonesia;Indonesia;Indonesia;Indonesia;;;t;
un364;364;IRN;;Iran (Islamic Republic of);Irán (República Islámica de);Iran (Islamic Republic of);Irán (República Islámica de);Iran (Islamic Republic of);Irán (República Islámica de);Iran (Islamic Republic of);Irán (República Islámica de);;;t;
un368;368;IRQ;;Iraq;Iraq;Iraq;Iraq;Iraq;Iraq;Iraq;Iraq;;;t;
un372;372;IRL;IE;Ireland;Irlanda;Ireland;Irlanda;Ireland;Irlanda;Ireland;Irlanda;;;t;
un376;376;ISR;IL;Israel;Israel;Israel;Israel;Israel;Israel;Israel;Israel;;;t;
un380;380;ITA;IT;Italy;Italia;Italy;Italia;Italy;Italia;Italy;Italia;;;t;
un384;384;CIV;;Côte d'Ivoire;Costa de Marfil;Côte d'Ivoire;Costa de Marfil;Côte d'Ivoire;Costa de Marfil;Côte d'Ivoire;Costa de Marfil;;;t;
un388;388;JAM;;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;;;t;
un392;392;JPN;JP;Japan;Japón;Japan;Japón;Japan;Japón;Japan;Japón;;;t;
un398;398;KAZ;;Kazakhstan;Kazajstán;Kazakhstan;Kazajstán;Kazakhstan;Kazajstán;Kazakhstan;Kazajstán;;;t;
un400;400;JOR;JO;Jordan;Jordania;Jordan;Jordania;Jordan;Jordania;Jordan;Jordania;;;t;
un404;404;KEN;;Kenya;Kenia;Kenya;Kenia;Kenya;Kenia;Kenya;Kenia;;;t;
un408;408;PRK;;Democratic People's Republic of Korea;República Popular Democrática de Corea;Democratic People's Republic of Korea;República Popular Democrática de Corea;Democratic People's Republic of Korea;República Popular Democrática de Corea;Democratic People's Republic of Korea;República Popular Democrática de Corea;;;t;
un414;414;KWT;;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;;;t;
