id_master_country|date_in|date_out|global_quota|economic_quota|military_quota|soft_quota
un276|1990-01-01|1990-12-01|7.85973952674167|8.62702603082625|0.390181224928445|11.6313357401792
un024|1990-01-01|1990-12-01|0.0975559670804896|0.247278338854968|0.053634040162936|0.0262129692103147
un682|1990-01-01|1990-12-01|1.45029750726979|2.61602386101094|0.255118493222445|1.38208020822153
un012|1990-01-01|1990-12-01|0.30568621569153|0.713246018050853|0.0450209105686667|0.192066316865877
un032|1990-01-01|1990-12-01|0.556328420703653|0.555534655027207|0.422415454687237|0.633315343323766
un036|1990-01-01|1990-12-01|1.40010870752537|2.16730012792901|0.219970784363417|1.57997134351586
un040|1990-01-01|1990-12-01|1.20502418605423|1.3637972727937|0.045539552383214|1.76493356562808
un050|1990-01-01|1990-12-01|0.0805397036136183|0.0420056537163964|0.0457295135621816|0.125236490225006
un056|1990-01-01|1990-12-01|1.7795593921004|3.3593047074458|1.15230036188846|1.12036949714873
un076|1990-01-01|1990-12-01|0.759208996515794|1.18847923166845|0.676589143918328|0.529927740274169
un100|1990-01-01|1990-12-01|0.50711703276047|0.0733222550183177|0.0300139403791112|1.05896172691384
un124|1990-01-01|1990-12-01|2.94719885641795|4.44149819793076|0.75679600011932|3.23572727945657
un634|1990-01-01|1990-12-01|0.225940107441902|0.187885386149683|0.465216075876223|0.113801645442329
un152|1990-01-01|1990-12-01|0.281452553406854|0.426874783909757|0.302832095166468|0.175586287283944
un156|1990-01-01|1990-12-01|1.4414308227972|1.60717099396083|1.15671770958497|1.49728411201371
un196|1990-01-01|1990-12-01|0.0897185842865304|0.0744095402173248|0|0.150815069542853
un170|1990-01-01|1990-12-01|0.211036613941159|0.33990421728141|0.129235773505526|0.174756863165477
un410|1990-01-01|1990-12-01|0.957805786813728|1.23012782848202|0.480223046065779|1.05516181341254
un208|1990-01-01|1990-12-01|0.710374224282635|1.32091843919126|0.0627359854065352|0.6870201600682
un818|1990-01-01|1990-12-01|0.256144485619793|0.267527793135684|0.105048791326889|0.335101771922893
un784|1990-01-01|1990-12-01|0.126645297761478|0.0508164658358069|0.0150069701895556|0.239236568883215
un705|1990-01-01|1990-12-01|0.117176526420378|0.28832689269871|0|0.0738678079970933
un724|1990-01-01|1990-12-01|2.07824899796752|1.9256578466386|0.483246418838107|3.08740509314465
un840|1990-01-01|1990-12-01|23.5387896255802|15.2231327312675|41.6404247852084|18.5567720148056
un608|1990-01-01|1990-12-01|0.143971135393159|0.251473117415425|0.0300139403791112|0.139815569222909
un246|1990-01-01|1990-12-01|0.430487579058497|0.662930404438213|0.0470039985698114|0.499788503460922
un250|1990-01-01|1990-12-01|6.61148235580492|6.62025789132816|3.99249123882333|8.10149765304687
un300|1990-01-01|1990-12-01|0.579538289617294|0.444741503358623|0.481795385163074|0.722171403475156
un528|1990-01-01|1990-12-01|2.27513333783161|4.88385443835966|0.471445779934974|1.62508990820989
un348|1990-01-01|1990-12-01|0.926167395308242|0.325759729062746|0.0303446217760847|1.82444090814782
un356|1990-01-01|1990-12-01|0.947143835620557|0.537922775321186|0.782063097041327|1.30497089858651
un360|1990-01-01|1990-12-01|0.498733996216058|1.11740036960324|0.240442204429863|0.247799004656224
un368|1990-01-01|1990-12-01|0.304071913966304|0.801460115133535|0.0900418211373335|0.10596687614772
un364|1990-01-01|1990-12-01|0.61358077906917|1.00030335970584|0.280957882005252|0.554474655122953
un372|1990-01-01|1990-12-01|0.423852515287681|0.689086189444169|0.0403431304307728|0.472049784961099
un352|1990-01-01|1990-12-01|0.0591300604389855|0.0866571389110613|0|0.0751700130377368
un376|1990-01-01|1990-12-01|0.371038642879662|0.330566758559689|0.110953816272845|0.545634466950652
un380|1990-01-01|1990-12-01|3.2002723520377|4.39592082260452|1.04322833580843|3.66209107488918
un392|1990-01-01|1990-12-01|4.97627052371264|5.73166882651716|0.735341539288224|6.91170075379255
un414|1990-01-01|1990-12-01|0.360882197505085|0.482697780090125|0|0.488523410405693
un442|1990-01-01|1990-12-01|0.0446940486629803|0|0|0.0990026034769108
un458|1990-01-01|1990-12-01|0.616495888631862|1.01041285190215|0.0604058023547634|0.680375145894594
un470|1990-01-01|1990-12-01|0.0492199674199498|0.03522117099424|0|0.0863444496597167
un484|1990-01-01|1990-12-01|0.944737874269435|1.22580267827963|0.0900418211373335|1.25182709934753
un566|1990-01-01|1990-12-01|0.297120248248959|0.674894698208978|0.0300139403791112|0.206361462825814
un578|1990-01-01|1990-12-01|0.873049791602088|1.85855647854964|0.103819545757433|0.677646886982098
un554|1990-01-01|1990-12-01|0.360002051019029|0.448830102430216|0.0623426505370372|0.472782722235546
un586|1990-01-01|1990-12-01|0.445291839507591|0.147602395448448|0.242755973827981|0.752678920802776
un616|1990-01-01|1990-12-01|0.53242937845592|0.494895797525775|0.0676807930881814|0.822013278945102
un620|1990-01-01|1990-12-01|0.480488880408132|0.464841101676574|0.120055761516445|0.696404582670876
un826|1990-01-01|1990-12-01|5.49330237131387|6.2454390226611|5.82412908681311|4.81997125297588
un203|1990-01-01|1990-12-01|0.642207109595976|0.295365388815089|0.0468584987551429|1.20557942300432
un642|1990-01-01|1990-12-01|0.395862953746182|0.157213614956221|0.0303446217760847|0.758303126679073
un643|1990-01-01|1990-12-01|11.7087505362228|1.9850362588837|33.8838036182887|5.30729981696027
un702|1990-01-01|1990-12-01|0.703476583747212|1.62234073839821|0.0539647215599095|0.48262427868814
un710|1990-01-01|1990-12-01|0.418318379106743|0.933385451434794|0.0300139403791112|0.308353060960101
