id_master_country;date_in;date_out;energy;primary_goods;manufactures;services;investments;troops;military_equipment;migrations;tourism;sports;culture;information;technology;science;education;cooperation;economic_presence;military_presence;soft_presence;iepg
un642;1990-01-01;1990-12-31;5.525189893;3.138696262;3.794792051;1.199710496;0;0.021171062;2;3.33471289;39.19806159;140.1096789;0;0;0.123519966;2.059946494;9.844364279;0;2.437456519;0.990797242;15.08020211;8.021654008
un643;1990-01-01;1990-12-31;123.6809036;45.99268576;12.67300191;0;0;1083.640818;1130;269.190955;93.84607368;669.8940059;2.639582881;0;97.56312753;3.867893844;101.1321852;3;30.77621217;1106.356817;105.5450665;237.2627819
un702;1990-01-01;1990-12-31;50.46441414;27.60122158;33.43112761;25.19549381;0;1.533389789;2;16.98774266;63.07644208;11.81917591;0;0;0.547016993;2.446735879;10;0;25.15294245;1.762028793;9.597839455;14.25504889
un710;1990-01-01;1990-12-31;6.057711073;61.9979668;15;6.700796136;3;0;2;28.59785495;13.40472096;5.417122291;0;0;1.411656756;9.910012864;5;0;14.47130679;0.98;6.132147314;8.476684344
un752;1990-01-01;1990-12-31;9.362392284;23.33892102;42.24374102;26.99446953;12;2.083837406;1;18.16191102;9.522692929;81.18648212;5;0;17.91039509;30.43622224;16.12217124;67.66840227;22.49676654;1.552757077;23.60686691;19.6563712
un756;1990-01-01;1990-12-31;0.335456268;46.74101558;53.05666777;37.36901521;15;0;0;32.14929965;171.9556042;47.07204257;0;0;40.28515466;25.44605314;34.24409724;25.33177744;29.24292121;0;36.59755022;27.94718316
un764;1990-01-01;1990-12-31;0.967719344;21.88166315;12.92545912;12.62453388;0;0.021171062;6;9.049855347;69.02975353;18.17006426;1;0;0.088228547;1.427018411;1;0;8.507540309;2.950797242;8.751781218;7.730812236
un792;1990-01-01;1990-12-31;1.567311796;21.80872428;7.812201182;15.76537596;0;0.021171062;25;26.87163827;62.51628367;23.53602129;24;0;0.141165676;2.977106171;11.59736656;0.101149087;8.305726987;12.26079724;15.06983764;12.05002913
un862;1990-01-01;1990-12-31;76.00136825;9.851268052;1.638876585;2.326651667;0;2.192717155;6;23.91286012;6.839143348;6.894519279;0;0;0.582308412;1.427018411;0;20;15.82381633;4.058285749;5.497238965;9.19110585
un704;1990-01-01;1990-12-31;2.097341812;6.507790785;0.863665584;0.35794641;0;54.43987418;5;0.687123232;6.513469856;2.462328314;0;0;0.017645709;0.357487158;0;0;1.478595119;30.21433583;0.865608761;5.794339909
un276;1995-01-01;1995-12-31;26.32022398;265;389.1284511;156.3698727;62.60941075;0;24;210.0237541;193.4109739;464.790014;13.44239264;0;511.1432655;161.2911733;242.0505585;299.532118;169.2568481;11.76;215.6636295;165.4044718
un024;1995-01-01;1995-12-31;17.97722418;1;0.015096049;0.222355523;2.07e-05;1.512218727;2;0.875943145;0.117242457;13.25642624;0;0;0;0.020511558;0.01362437;0;3.420066725;1.751231551;1.021432852;2.049681516
un682;1995-01-01;1995-12-31;216.0080656;6;6.053295986;6.835340718;0.663976779;0;17;107.6930778;43.31457454;18.86491426;16;0;0.282331351;4.316217903;8.1155831;20.68262822;42.61687333;8.33;20.90801472;27.14489864
un012;1995-01-01;1995-12-31;46.84740391;1;0.252760965;1.337382192;0.042695436;0;5;6.980871193;6.77400865;29.95254263;0;0;0.070582838;0.794090327;3.860238184;0;8.931783615;2.45;3.90231236;5.581141459
un032;1995-01-01;1995-12-31;11.39763944;66;6.324649981;7.523954875;2.494781563;0.14214856;28;37.08662272;29.818665;33.84118558;0.210007966;0;1.058742567;8.049321507;19.19219596;0;14.27565792;13.79249577;11.82847871;13.07264954
un036;1995-01-01;1995-12-31;46.68035865;162;12.48463618;32.43269821;14.1081259;0.632107428;14;90.01262949;48.53837736;161.6647528;6.551451952;0;41.66152;54.09776981;132.0761572;40.26677735;43.08702511;7.182374788;56.55238768;43.53634784
un040;1995-01-01;1995-12-31;3.03422056;32;41.82269925;47.75477131;2.759774996;2.604040648;0;23.10575076;223.7116357;31.48213027;6;0;17.87510367;15.96092255;40.69599338;21.01608304;24.77183845;1.328060731;36.54151559;26.4348855
un050;1995-01-01;1995-12-31;0.052946624;2;2.637583308;1.373165033;0.01111017;0.045366562;3;23.50784561;2.032202595;4.588762929;0.318632776;0;0.017645709;1.005066355;0.318632776;0.318632776;1.115763656;1.493136947;2.860613776;1.978774437
un056;1995-01-01;1995-12-31;16.52746615;171;84.60414419;69.75274163;18.82112883;3.762400194;4;21.38436902;72.42978479;39.83018847;11.39901514;0;11.27560834;24.72521837;52.93219151;36.23160309;63.06239682;3.878824099;27.34911789;37.16491687
un076;1995-01-01;1995-12-31;2.159339361;118;21.85101963;12.06594081;10.37358716;3.381321074;39;17.06285954;25.93663697;50.53730197;1.520747339;0;3.264456247;17.00994225;1.907411809;0;25.57118406;20.83447375;10.33013972;17.80243001
un100;1995-01-01;1995-12-31;1.831111442;9;2.865595061;2.815189515;0.024404419;0.114928623;1;1.08868087;45.15137304;111.6448416;0.75530835;0;0.176457094;4.486170814;12.62827723;0;2.726557809;0.548613598;14.1667132;7.640558216
un124;1995-01-01;1995-12-31;91.55394933;265;105.5665552;51.38714068;27.54827321;6.091217034;24;117.8861531;220.5721432;111.5154939;46.2640307;0;42.0320799;102.2383971;53.66639367;71.97971354;91.02461531;14.86652069;76.57765248;72.19371727
un634;1995-01-01;1995-12-31;15.22172211;0;0.542325333;0;0.001098852;0;0;9.481053321;4.025324371;17.52558405;0;0;0.017645709;0.12306935;2.058793698;0;2.848660747;0;2.706482384;2.327472981
un152;1995-01-01;1995-12-31;0.202835835;78;1.658221763;6.554942807;0.64692528;0.018146625;11;3.172893944;20.06148716;21.414227;1;0;0.158811385;4.207799667;0.893153149;0;12.18399222;5.399254779;4.372850007;7.505308812
un156;1995-01-01;1995-12-31;28.0381045;105;110.7329892;37.62429787;4.144427031;0.108879748;76;10.21339617;260.9817102;301.9152787;0.724165399;0;2.664502126;38.06359169;34.44694897;12;50.57459619;37.29552867;55.89790404;50.898667
un196;1995-01-01;1995-12-31;0.126007263;3;0.539204341;6.642875686;0.016761423;0;0;1.289389617;27.35657339;14.78601388;0.080020277;0;0.194102804;0.354556936;2.287380352;0;2.052741553;0;3.967426523;2.605057991
