id_master_country|date_in|date_out|energy|primary_goods|manufactures|services|investments|troops|military_equipment|migrations|tourism|sports|culture|information|technology|science|education|cooperation|economic_contribution|military_contribution|soft_contribution
un702|2012-01-01|2012-12-31|29.607|5.0274|18.4512|22.5552|0|0|1.8168|1.8906|5.535|0.855|1.3262|10.8419|1.0476|1.6559|3.9785|0|75.6408|1.8168|27.1307
un710|2012-01-01|2012-12-31|2.919|12.8763|2.1576|2.5752|1.717|0.477|0.3028|1.8084|4.469|2.5308|0.349|1.7371|0.0582|1.5988|5.8315|0.176|22.2451|0.7798|18.5588
un752|2012-01-01|2012-12-31|5.004|7.3872|9.1512|13.32|8.484|0.159|0.0757|1.2741|2.665|3.933|1.1866|17.97|2.5026|3.5973|2.9975|8.316|43.3464|0.2347|44.4421
un756|2012-01-01|2012-12-31|2.641|6.5664|13.2432|16.872|23.331|0.0795|0|1.6851|4.551|3.0438|0|9.4043|5.1798|4.1112|3.4335|4.576|62.6536|0.0795|35.9847
un764|2012-01-01|2012-12-31|4.726|16.9803|10.416|7.1928|0.808|0.2385|1.4383|1.1097|10.291|1.2996|0.4188|3.1148|0|1.0278|1.6895|0.088|40.1231|1.6768|19.0392
un792|2012-01-01|2012-12-31|2.363|6.3612|6.9192|6.66|0.606|0.7155|1.4383|1.3563|18.163|2.6334|0|8.985|0.1746|3.997|2.5615|1.892|22.9094|2.1538|39.7628
un804|2012-01-01|2012-12-31|2.085|5.643|2.8272|3.2856|0.202|0.0795|0.2271|5.0553|11.439|6.9084|0.1396|1.1381|0.1164|0.9136|3.2155|0|14.0428|0.3066|28.9259
eu900|2012-01-01|2012-12-31|47.816|80.4384|104.3088|137.0184|151.904|13.356|24.224|32.88|44.649|88.1334|44.9512|72.7186|59.1894|94.9002|63.111|108.9|521.4856|37.58|609.4328
un862|2012-01-01|2012-12-31|28.495|0.6669|0.744|0.3552|0.505|0|0.4542|0.9864|0.328|1.2996|0|0.8386|0|0.1713|0.1635|3.476|30.7661|0.4542|7.2634
un704|2012-01-01|2012-12-31|4.031|6.669|4.092|1.5096|0|0|0.0757|0.0822|3.198|0.4446|0|2.6356|0|0.2284|0.327|0|16.3016|0.0757|6.9158
un276|2013-01-01|2013-12-31|14.039|40.7322|76.9296|45.732|36.461|1.5105|2.0439|10.3161|16.236|15.1848|4.449947890678|43.6671|24.3858|16.559|17.1675|21.604|213.8938|3.5544|169.570247890678
un024|2013-01-01|2013-12-31|26.6185|0.3078|0|0.0888|0.202|0|0.0757|0.0822|0.287|0.7182|0|0|0|0|0|0|27.2171|0.0757|1.0874
un682|2013-01-01|2013-12-31|120.4435|2.3085|3.348|1.9536|0.808|0.2385|1.3626|6.987|7.626|0.9918|2.792|3.7737|0.291|1.2562|3.815|2.112|128.8616|1.6011|29.6447
un012|2013-01-01|2013-12-31|25.854|0.1539|0.0744|0.6216|0|0|0.9841|0.2466|1.394|1.7442|0|0.3594|0|0.3426|0.5995|0|26.7039|0.9841|4.6863
un032|2013-01-01|2013-12-31|1.807|14.0562|1.6368|2.664|0.808|0.2385|0.9084|1.3974|2.993|3.4542|1.62792362938|4.2529|0.0582|1.3704|0.2725|0|20.972|1.1469|15.42652362938
un036|2013-01-01|2013-12-31|26.6185|41.0913|2.0832|9.2352|9.999|0.636|1.6654|4.521|3.28|11.2176|0.967669770448|7.7271|2.037|8.1082|21.691|8.184|89.0272|2.3014|67.733569770448
un040|2013-01-01|2013-12-31|2.1545|6.0021|8.3328|10.7448|5.05|0.318|0|1.2741|12.915|1.197|0.4188|4.7321|1.6878|2.2269|5.8315|1.672|32.2842|0.318|31.9552
un050|2013-01-01|2013-12-31|0.0695|0.5643|1.6368|0.3552|0|1.6695|0.0757|1.0275|0.164|0.2052|0|0.1198|0|0.2284|0.109|0|2.6258|1.7452|1.8539
