id_geoentity|id_geometry_family|id_geometry|date_in|date_out
132|1|100|1990-01-01 00:00:00|2014-01-01 00:00:00
133|1|101|1990-01-01 00:00:00|2014-01-01 00:00:00
134|1|102|1990-01-01 00:00:00|2014-01-01 00:00:00
137|1|103|1990-01-01 00:00:00|2014-01-01 00:00:00
138|1|104|1990-01-01 00:00:00|2014-01-01 00:00:00
139|1|105|1990-01-01 00:00:00|2014-01-01 00:00:00
140|1|106|1990-01-01 00:00:00|2014-01-01 00:00:00
143|1|107|1990-01-01 00:00:00|2014-01-01 00:00:00
144|1|108|1990-01-01 00:00:00|2014-01-01 00:00:00
145|1|109|1990-01-01 00:00:00|2014-01-01 00:00:00
149|1|110|1990-01-01 00:00:00|2014-01-01 00:00:00
150|1|111|1990-01-01 00:00:00|2014-01-01 00:00:00
153|1|112|1990-01-01 00:00:00|2014-01-01 00:00:00
154|1|113|1990-01-01 00:00:00|2014-01-01 00:00:00
155|1|114|1990-01-01 00:00:00|2014-01-01 00:00:00
156|1|115|1990-01-01 00:00:00|2014-01-01 00:00:00
161|1|116|1990-01-01 00:00:00|2014-01-01 00:00:00
162|1|117|1990-01-01 00:00:00|2014-01-01 00:00:00
163|1|118|1990-01-01 00:00:00|2014-01-01 00:00:00
164|1|119|1990-01-01 00:00:00|2014-01-01 00:00:00
165|1|120|1990-01-01 00:00:00|2014-01-01 00:00:00
166|1|121|1990-01-01 00:00:00|2014-01-01 00:00:00
167|1|122|1990-01-01 00:00:00|2014-01-01 00:00:00
168|1|123|1990-01-01 00:00:00|2014-01-01 00:00:00
169|1|124|1990-01-01 00:00:00|2014-01-01 00:00:00
171|1|125|1990-01-01 00:00:00|2014-01-01 00:00:00
172|1|126|1990-01-01 00:00:00|2014-01-01 00:00:00
173|1|127|1990-01-01 00:00:00|2014-01-01 00:00:00
174|1|128|1990-01-01 00:00:00|2014-01-01 00:00:00
175|1|129|1990-01-01 00:00:00|2014-01-01 00:00:00
176|1|130|1990-01-01 00:00:00|2014-01-01 00:00:00
177|1|131|1990-01-01 00:00:00|2014-01-01 00:00:00
178|1|132|1990-01-01 00:00:00|2014-01-01 00:00:00
179|1|133|1990-01-01 00:00:00|2014-01-01 00:00:00
180|1|134|1990-01-01 00:00:00|2014-01-01 00:00:00
181|1|135|1990-01-01 00:00:00|2014-01-01 00:00:00
182|1|136|1990-01-01 00:00:00|2014-01-01 00:00:00
183|1|137|1990-01-01 00:00:00|2014-01-01 00:00:00
184|1|138|1990-01-01 00:00:00|2014-01-01 00:00:00
185|1|139|1990-01-01 00:00:00|2014-01-01 00:00:00
186|1|140|1990-01-01 00:00:00|2014-01-01 00:00:00
187|1|141|1990-01-01 00:00:00|2014-01-01 00:00:00
190|1|142|1990-01-01 00:00:00|2014-01-01 00:00:00
191|1|143|1990-01-01 00:00:00|2014-01-01 00:00:00
192|1|144|1990-01-01 00:00:00|2014-01-01 00:00:00
193|1|145|1990-01-01 00:00:00|2014-01-01 00:00:00
197|1|146|1990-01-01 00:00:00|2014-01-01 00:00:00
202|1|147|1990-01-01 00:00:00|2014-01-01 00:00:00
206|1|148|1990-01-01 00:00:00|2014-01-01 00:00:00
207|1|149|1990-01-01 00:00:00|2014-01-01 00:00:00
209|1|150|1990-01-01 00:00:00|2014-01-01 00:00:00
210|1|151|1990-01-01 00:00:00|2014-01-01 00:00:00
215|1|152|1990-01-01 00:00:00|2014-01-01 00:00:00
218|1|153|1990-01-01 00:00:00|2014-01-01 00:00:00
221|1|154|1990-01-01 00:00:00|2014-01-01 00:00:00
222|1|155|1990-01-01 00:00:00|2014-01-01 00:00:00
223|1|156|1990-01-01 00:00:00|2014-01-01 00:00:00
224|1|157|1990-01-01 00:00:00|2014-01-01 00:00:00
225|1|158|1990-01-01 00:00:00|2014-01-01 00:00:00
228|1|159|1990-01-01 00:00:00|2014-01-01 00:00:00
229|1|160|1990-01-01 00:00:00|2014-01-01 00:00:00
230|1|161|1990-01-01 00:00:00|2014-01-01 00:00:00
231|1|162|1990-01-01 00:00:00|2014-01-01 00:00:00
232|1|163|1990-01-01 00:00:00|2014-01-01 00:00:00
233|1|164|1990-01-01 00:00:00|2014-01-01 00:00:00
234|1|165|1990-01-01 00:00:00|2014-01-01 00:00:00
235|1|166|1990-01-01 00:00:00|2014-01-01 00:00:00
236|1|167|1990-01-01 00:00:00|2014-01-01 00:00:00
237|1|168|1990-01-01 00:00:00|2014-01-01 00:00:00
238|1|169|1990-01-01 00:00:00|2014-01-01 00:00:00
239|1|170|1990-01-01 00:00:00|2014-01-01 00:00:00
240|1|171|1990-01-01 00:00:00|2014-01-01 00:00:00
241|1|172|1990-01-01 00:00:00|2014-01-01 00:00:00
