code|date_in|date_out|global_quota|economic_quota|soft_quota
AT|2005-01-01|2005-12-01|3.89219483885899|3.23559734689859|4.71412639821189
AT|2010-01-01|2010-12-01|3.23988676942801|3.21963339063262|3.26099566715726
AT|2011-01-01|2011-12-01|3.12319491830915|3.15219795718569|3.09246932255634
AT|2012-01-01|2012-12-01|3.05675215986126|3.08381918930686|3.026665622289
AT|2013-01-01|2013-12-01|3.11392359841173|3.10023799525203|3.12874488487718
BE|2005-01-01|2005-12-01|6.7848492386277|8.73268825502897|4.346535995397
BE|2010-01-01|2010-12-01|5.91550789547739|8.04292855379102|3.69822328548073
BE|2011-01-01|2011-12-01|5.89777862595536|8.00239088889141|3.66816862258221
BE|2012-01-01|2012-12-01|6.01808495221013|8.13211535976096|3.66822031658382
BE|2013-01-01|2013-12-01|6.00095595510995|8.02331966606658|3.81076882578712
BG|2005-01-01|2005-12-01|0.415941154270557|0.264338333149708|0.605718216613759
BG|2010-01-01|2010-12-01|0.558521523536601|0.365677338200653|0.759511601639765
BG|2011-01-01|2011-12-01|0.489192169783201|0.351260626467891|0.635315783226127
BG|2012-01-01|2012-12-01|0.476273959953567|0.390783165898996|0.571301823745359
BG|2013-01-01|2013-12-01|0.474057181404757|0.374887953159777|0.581455848692103
CY|2005-01-01|2005-12-01|0.273723174066625|0.223007074872998|0.33720980477253
CY|2010-01-01|2010-12-01|0.272343101943488|0.235606747432279|0.310631229478007
CY|2011-01-01|2011-12-01|0.235982910685016|0.201589411446607|0.272419118581091
CY|2012-01-01|2012-12-01|0.247668459257044|0.196440401579183|0.304611349321001
CY|2013-01-01|2013-12-01|0.214288025473873|0.151681431275852|0.282089952535936
CZ|2005-01-01|2005-12-01|1.40133749299339|1.24415608669037|1.59809785221772
CZ|2010-01-01|2010-12-01|1.70409741118653|1.61628803894091|1.79561592161033
CZ|2011-01-01|2011-12-01|1.74874469819048|1.72275095457358|1.7762822697489
CZ|2012-01-01|2012-12-01|1.91345973325323|1.73089644791624|2.11638917383499
CZ|2013-01-01|2013-12-01|1.89452219756744|1.72452730889773|2.07862390746162
DE|2005-01-01|2005-12-01|16.5821164029244|15.4181097654915|18.0392249089985
DE|2010-01-01|2010-12-01|16.0193143157622|15.5818828396129|16.4752232476435
DE|2011-01-01|2011-12-01|15.4214822834297|15.2062398818801|15.6495084239672
DE|2012-01-01|2012-12-01|15.0315847938322|15.177150837222|14.8697798849302
DE|2013-01-01|2013-12-01|15.1897667774972|15.883003134165|14.4390030361748
DK|2005-01-01|2005-12-01|2.58457407971779|3.06377095706471|1.98471337135773
DK|2010-01-01|2010-12-01|2.51232280554966|2.80737763565321|2.20480462322066
DK|2011-01-01|2011-12-01|2.46410117786142|2.72885672104484|2.18362119685688
DK|2012-01-01|2012-12-01|2.35158620768267|2.62851163493315|2.04376789727554
DK|2013-01-01|2013-12-01|2.30930067331356|2.57027684162837|2.02666771179119
EE|2005-01-01|2005-12-01|0.325600682123369|0.207870598213477|0.472975706602815
EE|2010-01-01|2010-12-01|0.271311829740697|0.245514141906167|0.298199232561324
EE|2011-01-01|2011-12-01|0.303205584937701|0.254215747139132|0.355105041356784
EE|2012-01-01|2012-12-01|0.304465876733685|0.279568195830233|0.332141060427904
EE|2013-01-01|2013-12-01|0.28748748347456|0.277283613314185|0.298538109518459
ES|2005-01-01|2005-12-01|6.90355182812109|6.73238358740277|7.11782096671505
ES|2010-01-01|2010-12-01|7.34189277247612|6.94008446709711|7.76067378233614
ES|2011-01-01|2011-12-01|7.12810512409851|6.66084876467173|7.62311290841327
ES|2012-01-01|2012-12-01|7.08205174152696|6.56062342510272|7.66164887333882
ES|2013-01-01|2013-12-01|7.02129550134193|6.54222249287894|7.54012380678323
FI|2005-01-01|2005-12-01|1.26098571566733|1.37156573317112|1.12256117501185
FI|2010-01-01|2010-12-01|1.27593667631888|1.36139926866671|1.18686407565443
FI|2011-01-01|2011-12-01|1.26943969946788|1.4231337263978|1.10661743242304
FI|2012-01-01|2012-12-01|1.27345791209721|1.44148121202459|1.08669048952357
FI|2013-01-01|2013-12-01|1.34045293564862|1.4810715169159|1.1881652906683
FR|2005-01-01|2005-12-01|12.0675795532825|11.8009403540728|12.4013596475937
FR|2010-01-01|2010-12-01|12.250261738608|12.2858328972851|12.2131880257123
FR|2011-01-01|2011-12-01|11.6026293406921|11.8792514290451|11.3095780332339
FR|2012-01-01|2012-12-01|11.5311602165396|11.8188910734472|11.2113310585433
FR|2013-01-01|2013-12-01|11.2679344031843|11.1888969771364|11.3535306549005
GB|2005-01-01|2005-12-01|13.5131416378006|12.6241036466738|14.626043211928
GB|2010-01-01|2010-12-01|14.1694184516737|10.8466912867686|17.6325002719857
GB|2011-01-01|2011-12-01|15.2539534306799|11.4989558485426|19.2319689156299
GB|2012-01-01|2012-12-01|14.8313491559933|11.2596136568208|18.8015356336041
GB|2013-01-01|2013-12-01|14.6372091292225|10.9770214110204|18.6011331196898
GR|2005-01-01|2005-12-01|1.34794187436734|1.08175440169236|1.68115649546302
GR|2010-01-01|2010-12-01|1.75619736931411|1.11184688052255|2.42776573857768
GR|2011-01-01|2011-12-01|1.54905322913276|0.990451622003249|2.14083146453029
GR|2012-01-01|2012-12-01|1.51337137095692|0.999097786359141|2.08501561276474
GR|2013-01-01|2013-12-01|1.25940257412796|0.939058173207342|1.60633036958127
HR|2005-01-01|2005-12-01|0.879765518534544|0.465188847569624|1.3987343751169
HR|2010-01-01|2010-12-01|0.790320384333929|0.468270615019215|1.12597379371678
