id_master_country;date_in;date_out;population;pib
un388;1990-01-01;1990-12-31;2364909;17255661876.8143
un392;1990-01-01;1990-12-31;122251184;3162654648639.02
un398;1990-01-01;1990-12-31;16530000;117123277101.272
un400;1990-01-01;1990-12-31;3415567;11609837099.1197
un404;1990-01-01;1990-12-31;23447177;33505912158.9166
un408;1990-01-01;1990-12-31;20143212;67938252552.0048
un410;1990-01-01;1990-12-31;42980365;419677175759.26
un414;1990-01-01;1990-12-31;2087687;46129449612.1747
un417;1990-01-01;1990-12-31;4394502;11158460796.8355
un418;1990-01-01;1990-12-31;4192414;4915102310.07522
un422;1990-01-01;1990-12-31;2948372;14297248478.4435
un426;1990-01-01;1990-12-31;1639177;1541252801.1887
un428;1990-01-01;1990-12-31;2663905;27219206066.3438
un430;1990-01-01;1990-12-31;2127098;1183771029.73884
un434;1990-01-01;1990-12-31;4334459;47980763807.9366
un438;1990-01-01;1990-12-31;28986;1550827713.68111
un440;1990-01-01;1990-12-31;3695890;48594516694.6253
un442;1990-01-01;1990-12-31;381225;16189725437.729
un446;1990-01-01;1990-12-31;359709;7372413716.00509
un450;1990-01-01;1990-12-31;11280625;13119787119.5713
un454;1990-01-01;1990-12-31;9380892;5654010218.86415
un458;1990-01-01;1990-12-31;18208562;116280172737.306
un462;1990-01-01;1990-12-31;219474;460844894.16815
un466;1990-01-01;1990-12-31;8672868;6211737399.12809
un470;1990-01-01;1990-12-31;367524;4959531350.80152
un474;1990-01-01;1990-12-31;359377;3977709747.0863
un478;1990-01-01;1990-12-31;1995548;2780713716.05429
un480;1990-01-01;1990-12-31;1059548;5878288562.29279
un484;1990-01-01;1990-12-31;84306602;767476075844.622
un492;1990-01-01;1990-12-31;30896;979934688.831121
un496;1990-01-01;1990-12-31;2192553;4974024100.97854
un498;1990-01-01;1990-12-31;4363950;21400052608.9974
un499;1990-01-01;1990-12-31;608816;6365578447.66475
un500;1990-01-01;1990-12-31;10714;163984377.333491
un504;1990-01-01;1990-12-31;24781105;74395421845.8683
un508;1990-01-01;1990-12-31;13547076;6004544874.3628
un512;1990-01-01;1990-12-31;1868055;32664085001.3409
un516;1990-01-01;1990-12-31;1414830;4912849119.26359
un520;1990-01-01;1990-12-31;9157;117930791.299108
un524;1990-01-01;1990-12-31;19081064;16270139169.8266
un528;1990-01-01;1990-12-31;14891719;370835421992.42
un533;1990-01-01;1990-12-31;62147;1511226652.14693
un540;1990-01-01;1990-12-31;169689;6139197428.22973
un548;1990-01-01;1990-12-31;146636;481195512.671323
un554;1990-01-01;1990-12-31;3397983;63996241641.2684
un558;1990-01-01;1990-12-31;4120797;9706406769.68922
un562;1990-01-01;1990-12-31;7788198;4989081745.91908
un566;1990-01-01;1990-12-31;97552057;153265368912.059
un570;1990-01-01;1990-12-31;2333;
un574;1990-01-01;1990-12-31;;
un578;1990-01-01;1990-12-31;4241485;132172113838.607
un580;1990-01-01;1990-12-31;43973;285707739.561629
un583;1990-01-01;1990-12-31;96319;520961201.947324
un584;1990-01-01;1990-12-31;47288;352876508.536406
un585;1990-01-01;1990-12-31;15089;241343097.557935
un586;1990-01-01;1990-12-31;111844679;204228006666.217
un591;1990-01-01;1990-12-31;2415926;14094983793.9598
un598;1990-01-01;1990-12-31;4157654;6603442199.42684
un600;1990-01-01;1990-12-31;4243860;18083536285.3237
un604;1990-01-01;1990-12-31;21685537;98980134163.863
un608;1990-01-01;1990-12-31;61628668;147101859507.856
un612;1990-01-01;1990-12-31;65;
un616;1990-01-01;1990-12-31;38056174;310999243340.03
un620;1990-01-01;1990-12-31;9925477;152547733348.966
un624;1990-01-01;1990-12-31;1016695;752712921.823582
un626;1990-01-01;1990-12-31;743145;1677818487.37646
un630;1990-01-01;1990-12-31;3528815;48957811217.6203
un634;1990-01-01;1990-12-31;473722;19190880664.038
un638;1990-01-01;1990-12-31;612034;3660129240.02327
un642;1990-01-01;1990-12-31;23206719;192189253709.001
un643;1990-01-01;1990-12-31;148243501;1881237616435.35
un646;1990-01-01;1990-12-31;7109538;5408528726.43307
un652;1990-01-01;1990-12-31;5038;
un654;1990-01-01;1990-12-31;5537;12077448.4894785
un659;1990-01-01;1990-12-31;40731;383754089.572106
un660;1990-01-01;1990-12-31;8332;102775340.478192
un662;1990-01-01;1990-12-31;138042;1032071225.54452
un663;1990-01-01;1990-12-31;;
un666;1990-01-01;1990-12-31;6279;
un670;1990-01-01;1990-12-31;107449;492883695.237041
un674;1990-01-01;1990-12-31;24134;636817823.573023
un678;1990-01-01;1990-12-31;116117;173827599.773838
un682;1990-01-01;1990-12-31;16139053;379605891274.276
un686;1990-01-01;1990-12-31;7241573;10306721261.3319
un688;1990-01-01;1990-12-31;9568744;135337073310.728
un690;1990-01-01;1990-12-31;71031;848591221.354646
un694;1990-01-01;1990-12-31;3981567;5164740007.82132
un702;1990-01-01;1990-12-31;3016624;69813119109.6685
un703;1990-01-01;1990-12-31;5270072;63280639015.1482
un704;1990-01-01;1990-12-31;67101583;59981082293.5921
un705;1990-01-01;1990-12-31;1926701;32071406706.932
un706;1990-01-01;1990-12-31;6599249;7301596399.59787
un710;1990-01-01;1990-12-31;36793907;286509585734.83
un716;1990-01-01;1990-12-31;10469202;7972324323.64904
un724;1990-01-01;1990-12-31;38889158;702529395911.327
un728;1990-01-01;1990-12-31;5420563;7657196111.84639
un729;1990-01-01;1990-12-31;21073606;29614954910.4617
un732;1990-01-01;1990-12-31;220794;
un740;1990-01-01;1990-12-31;406890;2385755582.19317
un748;1990-01-01;1990-12-31;862947;3212360749.52963
un752;1990-01-01;1990-12-31;8558829;216494739944.263
un756;1990-01-01;1990-12-31;6673738;219404339964.81
un760;1990-01-01;1990-12-31;12324116;39196942878.1465
